,cluster
0,0
1,2
2,0
3,2
4,2
5,0
6,1
7,1
8,2
9,1
10,3
11,3
12,0
13,3
14,0
15,2
16,3
17,1
18,1
19,1
20,3
21,3
22,1
23,1
24,1
25,3
26,0
27,0
28,0
29,1
30,3
31,3
32,3
33,0
34,3
35,1
36,3
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,2
45,0
46,1
47,3
48,3
49,0
50,2
51,0
52,2
53,0
54,2
55,1
56,1
57,3
58,3
59,3
60,1
61,3
62,3
63,1
64,0
65,0
66,0
67,1
68,0
69,0
70,2
71,2
72,2
73,0
74,1
75,0
76,2
77,1
78,2
79,1
80,2
81,2
82,3
83,1
84,2
85,0
86,2
87,3
88,1
89,1
90,1
91,1
92,3
93,3
94,1
95,1
96,3
97,2
98,1
99,2
100,1
101,3
102,0
103,1
104,2
105,1
106,1
107,1
108,2
109,1
110,1
111,1
112,3
113,3
114,1
115,2
116,2
117,3
118,2
119,3
120,2
121,1
122,3
123,3
124,2
125,1
126,3
127,0
128,2
129,2
130,3
131,1
132,0
133,1
134,3
135,2
136,1
137,0
138,1
139,3
140,3
141,1
142,1
143,0
144,2
145,1
146,0
147,1
148,0
149,1
150,2
151,0
152,1
153,1
154,2
155,2
156,1
157,3
158,0
159,2
160,1
161,2
162,1
163,0
164,2
165,1
166,2
167,1
168,0
169,1
170,3
171,3
172,1
173,1
174,3
175,1
176,2
177,1
178,0
179,0
180,1
181,3
182,1
183,1
184,2
185,1
186,3
187,0
188,2
189,0
190,2
191,1
192,0
193,1
194,0
195,1
196,3
197,3
198,0
199,3
200,2
201,0
202,0
203,3
204,1
205,1
206,1
207,1
208,1
209,3
210,2
211,2
212,2
213,2
214,1
215,0
216,3
217,2
218,0
219,0
220,2
221,0
222,3
223,3
224,0
225,2
226,3
227,0
228,0
229,0
230,3
231,0
232,0
233,3
234,2
235,3
236,1
237,1
238,0
239,2
240,3
241,0
242,2
243,1
244,0
245,1
246,3
247,1
248,3
249,0
250,0
251,3
252,2
253,1
254,2
255,3
256,1
257,0
258,3
259,2
260,0
261,2
262,0
263,2
264,2
265,3
266,2
267,0
268,1
269,0
270,1
271,1
272,1
273,1
274,2
275,1
276,3
277,3
278,1
279,2
280,2
281,3
282,3
283,1
284,0
285,1
286,2
287,2
288,0
289,2
290,3
291,3
292,3
293,3
294,2
295,2
296,0
297,3
298,3
299,2
300,1
301,3
302,1
303,1
304,2
305,1
306,0
307,3
308,1
309,3
310,3
311,1
312,3
313,2
314,3
315,0
316,1
317,2
318,1
319,2
320,3
321,2
322,0
323,1
324,1
325,2
326,0
327,1
328,1
329,1
330,2
331,3
332,2
333,3
334,0
335,0
336,3
337,3
338,3
339,3
340,1
341,2
342,2
343,3
344,2
345,1
346,0
347,1
348,2
349,1
350,1
351,0
352,0
353,1
354,1
355,1
356,1
357,2
358,3
359,2
360,3
361,2
362,2
363,2
364,1
365,2
366,3
367,1
368,3
369,1
370,0
371,0
372,0
373,2
374,3
375,3
376,3
377,3
378,0
379,2
380,0
381,3
382,2
383,0
384,3
385,2
386,3
387,0
388,3
389,2
390,3
391,1
392,3
393,1
394,3
395,0
396,1
397,3
398,2
399,2
400,1
401,3
402,0
403,0
404,1
405,3
406,0
407,0
408,2
409,3
410,2
411,0
412,3
413,3
414,3
415,1
416,2
417,1
418,2
419,3
420,1
421,2
422,0
423,0
424,2
425,1
426,3
427,2
428,0
429,1
430,3
431,3
432,0
433,0
434,1
435,0
436,0
437,3
438,3
439,3
440,0
441,1
442,1
443,2
444,1
445,1
446,1
447,0
448,0
449,0
450,1
451,0
452,1
453,1
454,3
455,2
456,1
457,0
458,1
459,2
460,1
461,3
462,3
463,3
464,3
465,3
466,0
467,1
468,1
469,1
470,2
471,1
472,2
473,3
474,1
475,0
476,2
477,3
478,3
479,1
480,2
481,3
482,1
483,0
484,0
485,3
486,0
487,3
488,0
489,2
490,2
491,0
492,1
493,3
494,0
495,3
496,0
497,2
498,1
499,3
500,2
501,2
502,2
503,1
504,3
505,2
506,1
507,1
508,0
509,1
510,1
511,1
512,0
513,1
514,0
515,1
516,0
517,2
518,1
519,0
520,0
521,3
522,1
523,2
524,2
525,0
526,1
527,0
528,0
529,0
530,1
531,2
532,0
533,2
534,2
535,3
536,0
537,3
538,0
539,1
540,3
541,0
542,1
543,1
544,2
545,0
546,2
547,0
548,0
549,2
550,1
551,1
552,2
553,1
554,0
555,3
556,3
557,3
558,2
559,3
560,3
561,3
562,0
563,1
564,3
565,1
566,2
567,1
568,3
569,2
570,3
571,3
572,3
573,2
574,0
575,0
576,1
577,1
578,2
579,3
580,1
581,3
582,2
583,2
584,1
585,3
586,3
587,3
588,3
589,3
590,1
591,3
592,2
593,3
594,3
595,2
596,1
597,2
598,1
599,1
600,3
601,2
602,1
603,0
604,0
605,1
606,1
607,1
608,3
609,1
610,0
611,1
612,3
613,0
614,1
615,1
616,2
617,3
618,2
619,1
620,1
621,2
622,2
623,1
624,1
625,3
626,2
627,0
628,3
629,1
630,3
631,2
632,1
633,1
634,1
635,1
636,0
637,3
638,3
639,3
640,2
641,3
642,1
643,1
644,1
645,2
646,1
647,2
648,2
649,2
650,2
651,3
652,0
653,2
654,3
655,3
656,1
657,0
658,2
659,3
660,3
661,1
662,1
663,1
664,1
665,2
666,3
667,2
668,0
669,1
670,1
671,1
672,0
673,2
674,1
675,1
676,0
677,3
678,1
679,2
680,3
681,2
682,1
683,3
684,3
685,0
686,3
687,3
688,3
689,3
690,0
691,0
692,3
693,3
694,1
695,1
696,2
697,2
698,1
699,1
700,3
701,0
702,1
703,3
704,2
705,2
706,3
707,2
708,3
709,3
710,2
711,3
712,3
713,0
714,3
715,1
716,2
717,2
718,1
719,1
720,3
721,1
722,3
723,3
724,2
725,2
726,2
727,0
728,0
729,1
730,3
731,0
732,3
733,3
734,3
735,0
736,1
737,3
738,0
739,2
740,2
741,3
742,2
743,1
744,0
745,2
746,1
747,1
748,1
749,1
750,0
751,1
752,0
753,2
754,2
755,0
756,0
757,3
758,2
759,0
760,1
761,1
762,3
763,2
764,0
765,1
766,2
767,1
768,2
769,1
770,1
771,1
772,3
773,2
774,1
775,3
776,1
777,3
778,1
779,1
780,3
781,0
782,0
783,2
784,2
785,2
786,1
787,3
788,0
789,0
790,2
791,2
792,3
793,3
794,0
795,1
796,2
797,3
798,0
799,3
800,0
801,0
802,0
803,2
804,0
805,2
806,1
807,1
808,3
809,1
810,2
811,1
812,1
813,2
814,2
815,0
816,0
817,1
818,2
819,0
820,3
821,2
822,3
823,2
824,2
825,2
826,3
827,2
828,3
829,3
830,3
831,1
832,3
833,2
834,3
835,3
836,3
837,3
838,3
839,1
840,2
841,1
842,0
843,3
844,2
845,0
846,1
847,0
848,1
849,0
850,1
851,1
852,0
853,3
854,1
855,0
856,2
857,1
858,0
859,2
860,3
861,1
862,2
863,3
864,0
865,0
866,3
867,1
868,3
869,3
870,0
871,1
872,1
873,3
874,0
875,0
876,1
877,3
878,1
879,1
880,1
881,0
882,1
883,3
884,0
885,1
886,2
887,2
888,1
889,3
890,1
891,1
892,1
893,2
894,1
895,0
896,1
897,2
898,3
899,0
900,0
901,0
902,3
903,1
904,1
905,0
906,2
907,3
908,3
909,3
910,0
911,2
912,3
913,3
914,0
915,2
916,2
917,1
918,3
919,1
920,1
921,3
922,3
923,3
924,1
925,1
926,3
927,3
928,2
929,1
930,0
931,2
932,1
933,3
934,1
935,0
936,0
937,0
938,0
939,0
940,1
941,3
942,3
943,3
944,1
945,1
946,3
947,0
948,0
949,2
950,2
951,2
952,0
953,2
954,1
955,1
956,0
957,1
958,1
959,1
960,2
961,0
962,1
963,2
964,1
965,3
966,0
967,1
968,3
969,1
970,2
971,0
972,0
973,3
974,0
975,0
976,1
977,3
978,1
979,0
980,3
981,2
982,0
983,0
984,0
985,1
986,0
987,2
988,0
989,3
990,3
991,1
992,3
993,0
994,0
995,0
996,1
997,1
998,3
999,0
1000,2
1001,0
1002,3
1003,1
1004,3
1005,2
1006,2
1007,1
1008,2
1009,0
1010,0
1011,0
1012,1
1013,3
1014,0
1015,2
1016,1
1017,1
1018,2
1019,2
1020,0
1021,1
1022,1
1023,1
1024,0
1025,0
1026,0
1027,1
1028,3
1029,2
1030,0
1031,0
1032,0
1033,0
1034,1
1035,3
1036,3
1037,3
1038,0
1039,1
1040,2
1041,3
1042,1
1043,1
1044,3
1045,2
1046,2
1047,3
1048,0
1049,1
1050,0
1051,2
1052,3
1053,1
1054,3
1055,1
1056,3
1057,1
1058,0
1059,1
1060,3
1061,2
1062,2
1063,0
1064,1
1065,0
1066,2
1067,1
1068,3
1069,1
1070,3
1071,1
1072,1
1073,1
1074,2
1075,2
1076,3
1077,3
1078,2
1079,1
1080,1
1081,1
1082,1
1083,0
1084,0
1085,2
1086,1
1087,3
1088,3
1089,1
1090,1
1091,2
1092,2
1093,0
1094,3
1095,1
1096,0
1097,3
1098,3
1099,2
1100,3
1101,1
1102,2
1103,0
1104,3
1105,1
1106,1
1107,3
1108,0
1109,3
1110,2
1111,3
1112,2
1113,0
1114,2
1115,1
1116,0
1117,3
1118,1
1119,0
1120,3
1121,1
1122,3
1123,2
1124,1
1125,0
1126,2
1127,1
1128,3
1129,3
1130,3
1131,1
1132,2
1133,3
1134,2
1135,3
1136,3
1137,1
1138,2
1139,3
1140,1
1141,1
1142,3
1143,0
1144,2
1145,2
1146,2
1147,1
1148,1
1149,0
1150,1
1151,2
1152,1
1153,0
1154,1
1155,2
1156,0
1157,0
1158,3
1159,3
1160,3
1161,2
1162,3
1163,1
1164,0
1165,1
1166,3
1167,3
1168,1
1169,2
1170,3
1171,0
1172,3
1173,0
1174,2
1175,1
1176,1
1177,1
1178,2
1179,1
1180,0
1181,3
1182,3
1183,1
1184,1
1185,1
1186,0
1187,1
1188,1
1189,1
1190,3
1191,1
1192,3
1193,2
1194,3
1195,1
1196,2
1197,2
1198,0
1199,2
1200,0
1201,3
1202,2
1203,3
1204,2
1205,3
1206,1
1207,2
1208,3
1209,1
1210,1
1211,3
1212,3
1213,1
1214,3
1215,0
1216,1
1217,3
1218,0
1219,0
1220,2
1221,3
1222,2
1223,0
1224,1
1225,2
1226,2
1227,1
1228,2
1229,2
1230,1
1231,1
1232,1
1233,3
1234,2
