state_code,state,congressional_district,year,male_child,male_teen,male_adult,female_child,female_teen,female_adult,Females under 5 years,Females 5 to 9 years,Females 10 to 14 years,Females 15 to 17 years,Females 18 and 19 years,Females 20 years,Females 21 years,Females 22 to 24 years,Females 25 to 29 years,Females 30 to 34 years,Females 35 to 39 years,Females 40 to 44 years,Females 45 to 49 years,Females 50 to 54 years,Females 55 to 59 years,Females 60 and 61 years,Females 62 to 64 years,Females 65 and 66 years,Females 67 to 69 years,Females 70 to 74 years,Females 75 to 79 years,Females 80 to 84 years,Females 85 years and over,Males under 5 years,Males 5 to 9 years,Males 10 to 14 years,Males 15 to 17 years,Males 18 and 19 years,Males 20 years,Males 21 years,Males 22 to 24 years,Males 25 to 29 years,Males 30 to 34 years,Males 35 to 39 years,Males 40 to 44 years,Males 45 to 49 years,Males 50 to 54 years,Males 55 to 59 years,Males 60 and 61 years,Males 62 to 64 years,Males 65 and 66 years,Males 67 to 69 years,Males 70 to 74 years,Males 75 to 79 years,Males 80 to 84 years,Males 85 years and over
01,Alabama,01,2013,55253.0,38414.0,239695.0,53084.0,36917.0,264344.0,21820,21814,23626,13943,8799,4792,5142,12776,21976,21752,21701,22484,24519,26081,23966,8653,13371,7654,10387,13377,10002,7729,7982,22648,23217,23470,15028,9304,4240,5011,12964,21188,20993,20181,21717,23238,24142,21889,8807,11431,7150,9151,10620,7878,5214,3881
01,Alabama,02,2013,54981.0,37851.0,241490.0,51865.0,35309.0,264004.0,20900,22221,21861,13697,8496,5176,4863,14532,22878,22359,22823,22392,23862,25003,23989,8559,11408,7841,9698,12317,10361,7964,7979,23024,22344,24034,14076,9355,5301,5107,14275,22711,21982,21347,22373,22948,23475,21311,8166,10770,6910,8275,10158,7679,5340,3362
01,Alabama,03,2013,51954.0,39316.0,243903.0,49681.0,37375.0,264766.0,20191,20909,21454,13513,10990,7054,5820,16180,22456,21008,21694,22845,23780,25015,22754,9459,12214,7587,9554,12653,10513,7266,6914,21433,21012,23773,13707,11346,6742,7295,14933,21767,20942,20633,22774,23147,23125,21942,8252,11423,6862,8395,10867,7366,4271,3167
01,Alabama,04,2013,53437.0,36192.0,244403.0,50772.0,34720.0,263717.0,20628,21172,22430,13214,8048,4369,4320,12719,19470,20172,21832,22718,24211,25142,23371,9667,13537,7661,10815,15627,11514,8603,7969,21508,22863,22665,13992,8601,4739,4629,12341,20076,20040,19904,23665,23971,24195,22311,8379,13062,7542,9299,12401,8505,5669,3675
01,Alabama,05,2013,53280.0,37624.0,247999.0,50734.0,36318.0,264038.0,20227,21736,21928,13992,9170,5283,4806,12963,22004,21478,22091,23550,26721,26667,23388,8484,12266,7069,9019,13505,11039,6587,7118,21464,22828,22472,14490,9651,5090,5353,13560,22824,21454,21867,22781,26205,26173,21834,8419,10929,5982,8644,10797,8275,4805,3007
01,Alabama,06,2013,54845.0,36893.0,242002.0,52437.0,34914.0,263395.0,21234,21950,23133,13399,7636,3482,3910,13110,23156,23588,23761,24584,25051,25653,23861,8759,11837,6731,9147,12155,9644,7526,7440,22164,23221,23652,14572,8130,4029,4398,11781,23110,22604,23049,24595,24516,24394,21665,8079,10556,6151,7523,9818,7011,4976,3747
01,Alabama,07,2013,52505.0,41252.0,225299.0,51561.0,41205.0,269523.0,22310,20286,22413,13357,14401,6808,7945,17095,25081,22866,21376,20660,23373,25473,23791,8957,12403,6279,8498,11958,10290,8096,8574,22374,20883,23120,13975,13405,7661,6620,16026,22643,20018,17634,18344,19850,22023,20888,7877,10156,5469,7075,8968,6226,4422,3399
02,Alaska,00,2013,64991.0,43469.0,267338.0,60473.0,39235.0,244809.0,26084,24339,25126,14987,9173,5283,5145,15513,26934,23855,21790,22599,24728,26694,24350,8148,9698,5125,5536,7680,4612,3893,3226,28278,26035,26695,16326,11126,6701,6529,18675,30202,26033,23315,24658,26772,28656,27285,8731,10836,5967,6172,7914,4411,2785,1696
04,Arizona,01,2013,61066.0,43584.0,254613.0,59942.0,42204.0,253496.0,24770,25490,24205,15513,12168,6182,5930,12970,20275,20423,20186,19820,22166,24087,23827,9100,13894,8174,10412,14059,9389,6437,6165,26230,24608,25570,16346,11896,5809,6925,14812,22527,22052,22314,22040,22431,23483,22502,8823,11283,7398,9657,13705,9082,5836,3934
04,Arizona,02,2013,51225.0,35151.0,266055.0,47939.0,32592.0,281945.0,20102,19810,20069,12096,8455,5775,6373,14552,22972,21898,19155,20614,22882,26158,25788,10451,13800,9161,11654,16290,12491,10563,11368,21564,20897,21911,12765,9240,6135,5505,16744,24848,22437,19535,21845,22339,23825,22951,9251,13058,8525,10063,13778,10371,8183,6662
04,Arizona,03,2013,70362.0,52501.0,235606.0,68737.0,48272.0,238475.0,28735,28548,28636,17048,14043,6820,6479,17328,23641,24548,23742,22626,21973,20453,18358,6823,9481,5446,6845,8931,6502,4412,4067,29163,28985,30536,18271,15909,6919,7249,17886,26236,25474,24108,22243,21342,20278,17487,6720,9352,5468,5647,7953,5773,3182,2289
04,Arizona,04,2013,52244.0,34730.0,275454.0,49586.0,31522.0,270757.0,20245,20974,20918,11973,6999,3476,3128,9196,18378,17913,18999,17920,21205,23830,25895,11385,16812,11560,15329,21958,14186,10285,9302,20445,22615,22962,12946,8007,3377,4393,12586,20656,20487,20209,19914,21488,23583,23441,9637,16182,9962,14697,23292,15249,9866,6435
