,date
0,2015-05-02
1,2017-04-03
2,2016-11-05
3,2016-10-15
4,
5,2014-01-18
6,2018-01-25
7,2016-03-16
8,2016-08-01
9,2015-03-22
10,2014-06-19
11,2016-12-21
12,2018-01-06
13,2017-02-17
14,2016-08-26
15,
16,
17,2016-02-14
18,2014-05-27
19,2016-07-08
20,2017-11-17
21,2014-04-19
22,2018-03-30
23,2015-11-15
24,2017-03-27
25,2015-06-02
26,2016-12-30
27,2015-05-27
28,2014-08-11
29,2018-03-02
30,2015-12-26
31,2016-02-13
32,
33,2017-10-13
34,2015-02-15
35,
36,
37,2017-05-25
38,2016-08-25
39,2017-10-01
40,2017-02-08
41,2014-09-08
42,2014-06-14
43,2015-07-27
44,2014-10-25
45,2017-06-18
46,
47,2014-01-23
48,2017-05-07
49,2016-04-13
50,2017-03-17
51,2017-08-01
52,2017-09-30
53,2014-10-11
54,2015-03-25
55,2016-03-04
56,2014-08-13
57,2016-04-18
58,2016-12-07
59,2014-06-06
60,2016-10-09
61,2015-07-28
62,2016-01-25
63,2016-10-26
64,2014-10-01
65,2015-10-05
66,
67,2015-08-08
68,
69,
70,2017-03-24
71,2017-05-20
72,2017-10-22
73,2016-03-24
74,2014-06-26
75,2016-01-23
76,2015-04-20
77,2016-01-12
78,
79,
80,2018-01-26
81,2017-04-12
82,
83,2015-04-27
84,2016-10-05
85,2017-05-14
86,2017-10-12
87,2014-09-24
88,2014-09-25
89,
90,2017-01-04
91,2018-03-16
92,2016-02-29
93,
94,2014-07-10
95,2014-07-25
96,2016-04-08
97,2016-07-09
98,2018-01-26
99,2017-06-29
100,2016-01-30
101,2015-12-08
102,2016-08-24
103,2015-11-03
104,2017-11-22
105,2017-02-14
106,
107,2015-07-22
108,
109,2014-03-18
110,2018-01-16
111,
112,2014-01-20
113,2015-12-15
114,
115,2016-02-19
116,2016-11-22
117,2017-01-03
118,2018-01-11
119,2015-07-11
120,2017-01-18
121,2014-04-15
122,2017-09-26
123,2017-11-29
124,2017-03-14
125,2016-04-24
126,2016-12-05
127,2015-06-14
128,2016-07-18
129,2015-01-03
130,2014-10-21
131,2014-06-16
132,2017-10-29
133,2015-08-18
134,
135,
136,2014-05-16
137,2016-10-31
138,2014-01-24
139,2017-03-23
140,
141,
142,2016-05-18
143,2017-07-30
144,2015-08-22
145,2015-09-26
146,2017-09-30
147,2016-04-04
148,2014-03-04
149,2017-10-31
150,2017-03-06
151,2014-12-28
152,2016-03-18
153,2015-05-10
154,2017-07-17
155,
156,2016-04-22
157,2016-12-29
158,2017-02-27
159,
160,
161,2015-11-13
162,2014-01-08
163,2017-07-25
164,2017-02-19
165,2017-12-26
166,2014-07-22
167,2017-10-29
168,2015-05-16
169,2017-11-21
170,2018-01-19
171,2017-01-28
172,2014-08-15
173,2015-12-15
174,2014-05-02
175,2016-10-04
176,2017-08-15
177,
178,2017-11-25
179,
180,2015-11-17
181,2017-06-04
182,2018-03-07
183,2016-07-13
184,
185,2017-10-08
186,
187,2014-05-17
188,2017-01-01
189,2016-07-07
190,2015-05-21
191,2017-08-24
192,2017-11-25
193,2015-05-15
194,2015-03-21
195,2016-07-03
196,2017-10-23
197,2015-06-23
198,2015-11-10
199,2018-01-28
200,2016-05-13
201,2014-12-18
202,2017-06-25
203,2015-07-19
204,
205,2016-07-30
206,2017-12-20
207,
208,2017-08-01
209,
210,2015-12-13
211,2017-06-07
212,2014-04-16
213,2014-02-08
214,2017-06-09
215,2018-02-24
216,2017-10-30
217,2017-03-31
218,2014-07-07
219,2017-10-28
220,2017-04-29
221,2014-02-19
222,2018-01-30
223,2016-04-18
224,2016-07-09
225,2014-09-26
226,2015-12-06
227,2015-10-08
228,2016-08-21
229,2017-11-12
230,2018-01-11
231,2016-12-10
232,2017-02-11
233,2016-02-17
234,2017-02-24
235,2014-02-14
236,
237,2017-08-17
238,2016-04-24
239,2014-08-14
240,2016-11-04
241,2017-08-28
242,2015-04-06
243,2017-06-19
244,2015-04-26
245,2015-07-24
246,2016-02-07
247,2015-05-29
248,2017-05-15
249,2016-06-14
250,2014-01-06
251,2017-02-03
252,2017-06-11
253,2015-07-05
254,2015-09-09
255,2015-07-04
256,2018-02-23
257,2016-09-20
258,2016-07-21
259,
260,2018-01-23
261,2014-05-27
262,2017-03-12
263,2017-09-13
264,2016-07-10
265,2017-03-12
266,2016-07-20
267,2017-02-27
268,2015-06-17
269,2014-04-21
270,2015-11-01
271,
272,2016-08-31
273,2018-01-26
274,2017-02-03
275,2015-08-02
276,2017-04-28
277,2018-03-08
278,2017-07-01
279,2017-01-01
280,2016-08-02
281,2017-04-03
282,2015-07-31
283,2018-02-20
284,2017-03-02
285,2014-12-12
286,2014-04-26
287,2015-10-08
288,2016-12-25
289,
290,2016-09-16
291,2016-11-12
292,2018-03-08
293,2015-11-30
294,
295,
296,2016-11-01
297,2017-04-19
298,2014-12-19
299,2017-06-18
300,2017-01-09
301,2014-09-03
302,2016-03-15
303,2014-01-17
304,2017-10-10
305,2017-05-10
306,
307,2018-03-02
308,2015-03-26
309,2017-05-28
310,
311,2015-03-05
312,2017-03-25
313,2017-01-25
314,2015-12-13
315,2016-08-21
316,
317,2015-11-21
318,2014-05-17
319,2015-04-15
320,2017-08-08
321,2017-04-10
322,2015-09-12
323,2016-11-23
324,2014-09-24
325,2017-07-09
326,2014-12-08
327,
328,2018-02-07
329,2014-09-24
330,2014-10-10
331,2016-03-25
332,2015-03-19
333,2016-01-02
334,2017-07-09
335,2017-01-14
336,
337,2016-10-17
338,2017-04-23
339,2017-11-11
340,2015-03-21
341,2014-06-30
342,2018-02-18
343,2018-02-23
344,2016-12-31
345,2017-06-18
346,2015-01-30
347,2015-02-16
348,2017-02-23
349,2014-12-03
350,2016-10-04
351,2015-07-11
352,2017-07-27
353,2018-01-31
354,2016-08-29
355,2015-09-09
356,2015-12-25
357,2015-10-21
358,2014-03-20
359,2018-02-07
360,2016-10-03
361,2014-09-19
362,2015-04-13
363,2015-03-23
364,
365,2016-07-04
366,2016-04-29
367,2017-02-17
368,2018-03-19
369,2015-07-05
370,2015-04-17
371,2018-02-12
372,
373,2015-03-02
374,2017-07-30
375,2017-08-05
376,2017-09-17
377,2016-10-21
378,2014-12-01
379,2015-06-30
380,2014-03-13
381,2016-06-09
382,
383,2017-10-19
384,2018-02-09
385,2014-10-16
386,2016-08-17
387,2016-10-04
388,
389,2016-02-27
390,2015-12-19
391,2014-01-20
392,2017-04-19
393,2017-12-08
394,2014-08-20
395,2015-12-09
396,2018-02-01
397,2017-05-11
398,2016-04-29
399,2018-03-03
400,2018-03-11
401,2017-12-18
402,2016-03-25
403,2014-07-28
404,2018-03-24
405,2015-11-28
406,2017-01-16
407,2016-02-24
408,2016-02-18
409,2016-08-26
410,2017-08-23
411,2015-01-29
412,2016-10-09
413,2016-11-09
414,2017-10-06
415,2017-12-31
416,2015-10-29
417,2016-10-18
418,2014-04-14
419,2015-04-17
420,2017-11-15
421,2016-05-17
422,2016-08-06
423,2016-07-19
424,2017-08-07
425,2014-02-10
426,2017-02-23
427,
428,2016-05-22
429,2016-07-23
430,2015-12-10
431,2014-10-03
432,
433,2016-10-30
434,2016-09-15
435,2017-09-27
436,2017-11-23
437,2016-11-06
438,2016-02-12
439,2016-07-03
440,2016-03-23
441,2014-07-02
442,2015-12-16
443,2016-11-22
444,2015-04-22
445,2017-07-14
446,
447,2017-09-17
448,2016-04-16
449,2018-01-08
450,2016-10-24
451,2018-03-07
452,2016-10-15
453,2017-11-19
454,2016-11-16
455,
456,2015-07-22
457,
458,2017-02-09
459,2016-06-20
460,2017-01-01
461,2016-05-06
462,2016-11-12
463,2014-06-04
464,2016-12-01
465,2016-09-22
466,2015-09-23
467,2014-02-12
468,2017-11-04
469,2016-06-18
470,2017-03-29
471,2016-07-05
472,2016-09-21
473,2017-08-24
474,2016-11-27
475,
476,2017-03-30
477,2016-11-14
478,2014-12-09
479,2016-07-25
480,2018-03-07
481,2014-06-07
482,2018-01-26
483,2016-11-08
484,2017-11-11
485,2016-10-13
486,2017-12-31
487,2016-10-24
488,2017-01-23
489,2015-01-31
490,2015-08-31
491,2018-03-13
492,2014-09-08
493,2016-09-26
494,2017-05-27
495,2016-04-09
496,2015-06-18
497,2018-02-17
498,2014-08-03
499,2017-08-11
500,2014-09-13
501,2016-08-05
502,
503,2016-01-05
504,2014-05-17
505,2014-11-22
506,2018-03-24
507,2015-12-02
508,2017-03-01
509,2016-07-26
510,2016-06-11
511,2016-07-26
512,2015-08-23
513,2018-02-19
514,2016-02-23
515,2014-09-13
516,2015-01-12
517,2014-06-28
518,2016-01-11
519,2017-02-05
520,2017-08-10
521,2017-02-22
522,2015-05-19
523,2017-01-25
524,2014-04-25
525,2018-03-23
526,2017-10-27
527,2017-10-15
528,2016-05-28
529,2016-11-27
530,2014-02-25
531,2016-12-29
532,2014-05-15
533,2016-03-03
534,2014-09-01
535,2017-08-08
536,2014-04-26
537,2014-07-02
538,2014-06-28
539,2017-01-16
540,2014-06-26
541,2016-12-08
542,2016-10-06
543,2014-07-12
544,2015-05-09
545,2017-11-04
546,2017-04-11
547,2017-10-04
548,2016-08-31
549,
550,
551,2017-03-23
552,2018-02-18
553,2014-07-13
