,features,importances,rank
0,social_reasons,0.00023193671254621357,31
1,year,0.0003342683925392522,30
2,abduction,0.0014029648465096062,29
3,school,0.001529995774893269,28
4,n_child_prop,0.0028941975956174567,27
5,road,0.0037297133800953835,26
6,democrat,0.004233039855524617,25
7,house,0.004339565702863034,24
8,organized,0.004652949200083616,23
9,defensive,0.004951068676849378,22
10,accidental,0.005236215654062123,21
11,aggression,0.0064113796323818665,20
12,officers,0.0065149336293902705,19
13,n_teen_prop,0.007066102203573819,18
14,business,0.007526989711195645,17
15,drug_alcohol,0.00771854043072462,16
16,gun_law_rank,0.007762230617000271,15
17,illegal_holding,0.011886196991589238,14
18,suicide,0.012691292247958367,13
19,n_males_prop,0.01431655650080071,12
20,location_imp,0.014681021521123244,11
21,day_of_week,0.019646603597000135,10
22,month,0.02009620444885701,9
23,n_participants,0.024170336659326466,8
24,poverty_perc,0.038751959703405864,7
25,age_range,0.0409080173060862,6
26,day,0.04519308716497385,5
27,avg_age,0.07265072996118883,4
28,days_from_first_incident,0.13541593001625069,3
29,x,0.2339217679337773,2
30,y,0.23913420393181153,1
