,features,importances,rank
0,social_reasons,2.1629253119021212e-05,31
1,defensive,0.001451537485610772,30
2,n_child_prop,0.0016369070745101098,29
3,abduction,0.0018197974262496941,28
4,month,0.0019958277626562224,27
5,day,0.0020818762494882737,26
6,day_of_week,0.0026503983743948393,25
7,accidental,0.003155010044831235,24
8,organized,0.003361488707841509,23
9,school,0.004062519556367296,22
10,year,0.004613331001341696,21
11,location_imp,0.005413429625190147,20
12,n_males_prop,0.005726092087740607,19
13,n_teen_prop,0.007003850205523498,18
14,house,0.009111417817685081,17
15,days_from_first_incident,0.011781341730253782,16
16,officers,0.019209913995695323,15
17,democrat,0.021127320417428725,14
18,gun_law_rank,0.023288496705839025,13
19,business,0.02521947610961949,12
20,road,0.027352221546422143,11
21,poverty_perc,0.030944958488468448,10
22,avg_age,0.03591826421932077,9
23,x,0.04461161855813632,8
24,n_participants,0.04534177377244079,7
25,aggression,0.0790298223474427,6
26,drug_alcohol,0.09186493910186083,5
27,y,0.09341916332376271,4
28,illegal_holding,0.12765025198269886,3
29,age_range,0.13342773696428958,2
30,suicide,0.1357075880637707,1
