,death
73855,0
66119,0
93547,0
21513,0
126199,0
16083,0
95411,1
207666,1
56829,0
218274,1
69334,0
74811,1
85707,0
182689,0
220509,0
192922,1
231234,0
68807,0
230073,0
172073,1
52884,1
51891,0
107298,0
88702,0
198480,1
150660,0
104640,0
145771,0
156883,1
173295,0
15070,1
217051,0
122075,0
126437,0
16408,1
163297,0
33846,0
41033,1
206821,1
65804,1
23907,1
37376,0
135562,1
133489,1
186960,0
166528,0
173209,0
18120,1
208094,0
176472,0
230627,1
144743,0
18672,0
219669,1
88085,0
230981,0
52897,0
96341,1
103601,0
33033,1
201532,1
210082,0
50187,1
101877,0
82448,0
66102,0
82886,0
54773,0
79651,1
162726,1
41835,1
183293,1
70108,0
191909,0
204730,0
195015,0
155716,0
28708,1
71311,0
215854,0
107770,1
96247,0
32925,1
215288,1
103345,0
100367,0
111320,1
20311,0
86954,0
138879,1
237314,1
238973,0
135264,0
151566,0
206488,1
12118,0
101234,0
169630,0
230684,0
108972,1
96892,0
66057,0
175859,0
173508,0
185041,1
49017,1
224005,0
214779,1
125334,1
137606,0
181574,1
106917,0
158764,0
70007,1
40547,0
215696,0
168493,0
178806,0
87433,1
117896,1
169560,1
4300,0
22247,0
7310,1
139006,0
230896,0
184740,0
222516,0
107374,1
239149,0
73046,1
107985,0
57573,0
51027,0
140866,0
122972,0
204496,1
165714,0
22076,0
2616,1
170580,1
35533,0
199998,1
54751,0
117739,0
3590,0
178641,0
183218,1
86911,1
148977,0
4846,1
136131,0
63745,0
170743,1
117420,0
103657,0
150432,0
179830,1
48416,1
177108,1
31257,0
194332,0
224517,0
92079,0
72313,0
69116,0
55055,0
154402,0
86814,0
83788,0
40695,1
37175,0
180462,1
234925,0
51009,1
93948,1
186253,0
206219,0
99215,0
238465,0
207996,0
183435,1
68979,0
49343,1
77560,1
8942,0
41014,0
104387,0
218146,1
195259,0
3970,0
225950,1
100588,0
232998,1
141382,0
208896,0
65457,0
156251,1
112950,1
81394,1
82598,0
47688,1
192908,0
193310,0
93314,1
207534,1
228846,0
156491,0
146244,0
221767,0
76965,1
139713,0
207995,1
139987,0
88285,0
135281,0
70384,0
10881,0
156800,1
89056,1
113298,0
44631,1
205373,0
87258,0
181920,1
46821,0
21957,1
35830,1
3008,0
123787,1
209379,0
129239,0
53971,0
207749,1
10546,0
21251,1
157718,0
49123,0
120564,1
234849,1
56876,0
167593,0
101014,1
113447,0
196594,0
76655,0
173515,0
207053,0
100418,0
116253,0
177451,1
212709,0
4738,0
63108,0
228731,0
15761,0
152212,0
216740,0
226474,1
238702,0
9901,0
120271,0
10782,0
33151,0
39713,0
197733,0
85395,0
193289,1
38572,0
121073,1
129344,1
68434,0
153807,0
155235,1
32695,0
115510,1
87406,0
20702,0
210008,0
142701,0
37213,0
19445,0
72533,0
79097,0
237603,0
44990,1
115765,1
124071,1
225052,1
184267,1
16793,1
61100,1
187954,0
15343,0
231738,1
61993,1
40130,1
45075,1
225869,1
147177,0
160679,0
71167,1
228598,0
224851,1
224375,0
83887,0
215937,1
225626,0
80942,0
99779,0
48482,0
80697,1
239183,0
200873,0
221544,1
21374,0
199220,0
159167,1
41972,0
147062,0
165938,1
84402,1
74221,0
155256,0
103894,0
51022,0
107630,0
33396,0
156731,0
60263,1
217532,1
219787,0
59274,0
64435,0
53912,0
81531,1
1282,0
97705,0
151613,0
163207,0
51200,0
216449,1
192230,0
80454,0
42294,0
150542,1
176274,0
135427,1
165454,0
205990,1
59575,0
143970,1
221637,1
62930,0
117605,0
12977,0
159553,1
67871,0
231964,0
156501,0
78822,0
1941,0
92499,0
76328,1
222171,1
233714,0
145375,1
63452,0
102243,0
83733,1
234878,0
78181,0
168139,0
78084,1
78694,1
79618,1
13322,0
43759,0
52824,1
84672,0
233847,1
126279,1
176227,1
196698,1
66993,1
18315,1
4050,1
132709,0
178258,0
138976,0
130702,1
179523,0
62551,0
85914,0
204968,0
226032,1
170613,0
169377,1
27794,0
3845,0
113094,0
115238,0
213754,0
429,0
3814,0
146683,0
182373,0
59633,1
17785,1
156175,0
15725,0
150803,1
65038,0
119161,1
197322,0
1324,1
15035,0
75429,0
33932,0
116299,0
233521,1
102109,0
58540,0
17808,0
128651,1
12398,0
205348,0
213089,0
200922,0
70752,1
204890,0
236206,0
106363,0
148646,0
84670,0
42312,1
57187,0
224532,1
135007,0
214619,0
216802,0
43644,0
194584,0
153635,0
3871,0
3587,0
71075,0
175568,1
161674,0
53275,0
139095,0
224244,0
146643,0
132884,0
88539,0
94829,1
17361,0
141820,0
211388,0
64166,0
224721,1
6097,0
40096,1
12849,0
95113,1
186676,0
175763,0
26264,0
90930,0
73015,1
36422,0
1637,0
151650,1
64483,0
211635,0
219656,1
25340,1
218331,0
86601,1
149129,0
33987,0
96131,1
41778,1
135313,1
109251,0
123561,0
176316,0
34573,0
45905,1
65069,0
41947,0
176842,0
66452,1
192936,0
181987,0
123488,0
206545,1
209843,0
325,0
224081,1
145379,0
45644,0
119537,1
211144,0
151665,0
82178,0
146796,1
189564,1
216318,0
117383,0
9087,1
68771,0
180317,0
213692,0
88531,1
16539,0
194282,0
110374,0
81971,0
122554,0
121924,0
227559,1
144754,0
19785,1
110260,1
94847,0
40842,1
186193,0
231424,0
173909,0
229768,0
83990,0
137457,1
75923,1
216895,0
161621,0
76135,0
158293,0
127561,0
113357,1
39893,0
190351,0
38048,0
219385,0
87736,0
3022,1
2604,0
73128,1
198361,1
12481,0
71036,0
63602,1
33377,1
112918,0
107247,0
130785,0
88025,0
58867,0
33023,0
102410,0
59461,0
160538,0
119704,0
45358,1
97570,0
133085,1
124835,0
84576,0
60472,1
48954,0
221789,1
122544,0
211843,0
154674,0
49871,0
44414,1
8979,0
10418,1
93017,0
116845,0
1522,1
153519,0
123853,0
65903,1
26386,0
86718,0
109805,0
92529,1
60501,0
39052,1
69873,0
78402,1
118893,0
134957,1
116495,1
31425,0
136010,1
149180,0
153980,0
157801,0
227303,0
130500,0
51344,0
21042,0
221631,1
43490,0
110768,0
137308,1
195123,1
174838,0
26234,0
74144,1
64923,0
1303,0
133978,1
57424,0
122363,0
188111,1
87543,0
226719,1
35633,1
80010,1
237781,0
198266,0
228585,0
85226,0
142314,0
220534,0
109367,0
225858,0
188317,1
211656,0
137797,1
100468,0
137981,1
176380,1
98603,0
5792,0
196559,0
143141,0
44617,0
99113,0
129530,1
239203,0
23036,0
226796,1
45513,0
11588,0
78253,0
122222,1
211993,0
5062,1
8836,1
189270,1
50611,1
5344,0
52489,0
232289,1
30948,1
52417,0
160738,0
135491,0
219025,0
7006,0
1710,0
123645,1
151866,1
197225,0
114998,0
198780,1
104847,1
66232,0
21905,0
82696,1
135171,0
58779,0
4059,1
3129,1
209135,1
130638,0
126455,1
197644,1
222083,1
167042,0
142735,0
38724,1
65420,0
182544,0
29575,0
203152,1
118422,0
161675,0
123914,0
136039,0
2008,0
208677,0
2548,0
137560,0
140565,1
159050,0
145289,1
98137,0
42455,1
73598,0
29920,0
76286,1
59649,1
71250,1
40641,0
143552,0
136392,1
31718,0
125325,1
91214,0
2871,0
108917,0
195223,0
190953,0
235706,0
52359,0
194026,0
38103,0
102329,0
227195,0
158344,0
120909,0
78560,1
60947,0
204983,0
51121,0
76241,1
30427,1
46251,0
56706,0
234571,1
19851,0
101183,0
73831,0
95062,0
77206,0
87403,1
203721,0
174850,1
111651,1
166756,1
106936,0
226432,0
226252,1
57146,0
146828,1
91336,1
162783,0
52551,1
97614,0
137691,0
219294,1
39474,0
33729,0
153472,0
110476,0
19674,1
210400,0
22731,0
40838,1
78090,0
215229,1
237106,0
215219,1
30995,1
92074,0
117392,0
95853,1
49278,0
171197,0
45350,0
217869,0
56688,1
171914,1
11211,0
8053,0
195147,0
37509,0
41274,1
144202,0
126018,0
112414,0
35498,0
215811,0
47535,1
180145,1
176364,1
170317,0
72726,0
56263,0
200663,0
209367,1
159084,0
64060,0
141082,0
163324,0
15557,0
177508,0
156819,0
147983,0
15110,1
72448,1
81371,0
21900,0
122705,0
149152,0
208678,1
217848,1
39276,0
164975,1
238780,0
69517,0
23066,0
90306,0
78073,1
119337,0
229936,0
83337,1
85267,0
19290,1
175138,0
93201,0
108334,1
130063,1
208010,1
123003,0
74604,0
80,0
220762,1
95915,0
58689,0
236714,0
120568,0
233078,1
168669,0
48188,1
177914,1
129379,0
113066,1
37275,0
41507,0
70171,0
227459,0
194476,0
126898,0
14870,0
49844,0
7144,0
44609,1
153965,1
36765,0
193717,1
111511,0
23843,1
178756,0
59884,0
119280,0
57566,0
188331,1
6023,0
8866,0
227029,0
173656,0
49934,0
209079,0
95756,0
42623,0
167714,0
60647,0
207660,0
145571,0
48562,0
213689,0
172384,1
179240,1
165452,0
219764,0
74535,0
210270,0
73335,0
138001,1
60688,0
223615,0
209825,0
55923,0
100226,1
151537,1
59670,0
230739,0
124125,0
226429,1
14578,0
132986,0
202399,0
36491,0
164942,0
207796,1
164546,0
17566,0
94185,0
65105,0
204582,1
216080,0
84844,0
30317,1
8905,0
32927,0
171362,0
140528,1
167645,0
120593,1
174254,1
110885,0
95174,0
91988,0
185638,0
56486,0
108568,0
110188,0
50756,0
23004,0
112167,0
75407,1
162524,0
238272,1
216671,0
164247,0
177425,1
22439,1
121403,0
144136,0
107805,1
70169,1
77452,1
41388,1
90186,0
158649,0
179293,0
105448,0
221343,0
131105,1
201233,1
173662,0
183930,1
226772,0
37027,0
117535,0
200159,0
24518,0
225842,0
159548,0
19074,1
177715,0
82401,1
210181,0
145252,0
84894,0
167373,1
209683,1
45640,1
235218,1
204042,1
39156,1
100141,0
196149,0
138006,0
209320,1
8613,0
50279,1
191848,1
118489,0
151393,1
159737,0
172187,0
87541,1
237504,0
92491,0
85551,0
236948,0
66132,1
83157,1
110949,0
57608,0
137741,0
84403,1
164965,1
115348,0
128287,1
43524,0
104572,0
166939,0
135761,1
202411,0
76001,0
90063,0
149058,1
156268,0
227135,1
227608,0
27801,1
156233,1
135359,1
226754,0
150079,0
140560,0
188905,0
61188,0
108995,1
70613,0
44114,0
114470,0
25228,0
219790,0
71365,1
202782,1
230745,0
168176,0
162403,1
59479,0
172392,1
165379,0
100762,0
172109,0
61554,0
38134,0
202409,1
55277,0
51110,1
113116,0
194976,0
142445,0
233203,0
216839,0
216843,0
83700,1
231199,0
163782,1
104636,0
29080,0
214081,0
67541,0
34709,0
4760,1
225333,0
154816,0
98629,0
122371,0
74607,1
13907,1
181782,1
144169,0
209010,1
222826,1
93663,0
144215,0
39544,0
182510,1
227209,0
65889,1
234168,0
3728,0
232713,0
82230,0
210584,1
153057,0
175338,0
198670,0
208610,0
84916,0
157176,0
111166,0
156977,0
3928,0
85620,1
32357,0
10845,0
37337,0
85243,1
149141,0
163481,1
182964,0
8042,0
14267,0
27611,0
110005,1
30337,1
180765,1
143072,0
146751,0
83122,0
111805,1
12801,0
97715,0
146145,0
161292,0
33852,0
157637,0
66853,0
33692,0
90311,0
111285,0
152564,0
132551,1
211061,1
53905,0
167348,1
217145,0
144247,0
99778,0
215919,0
97591,0
189748,1
157156,1
9108,0
227944,1
35932,0
129402,0
4909,0
47262,1
84234,0
100721,1
1714,1
148827,0
132283,0
58927,0
13409,1
69497,1
208808,0
24497,0
151792,0
148539,1
213319,1
145686,1
137533,0
196351,1
28122,0
146999,1
117744,1
38997,0
69158,0
233328,1
181606,0
36039,0
78895,0
233026,0
718,0
105565,0
17789,1
157038,0
71042,0
97092,0
11061,1
71343,1
229353,1
150961,0
42750,1
203614,0
197503,0
73138,0
112861,1
135078,0
33620,0
186440,0
95369,0
236077,1
15317,0
25415,1
150060,0
192301,0
79955,0
176773,0
52620,0
143075,0
130845,1
120147,0
23566,0
169693,0
227845,0
97966,0
158153,0
27323,0
77444,0
76724,1
147224,1
191828,1
21874,0
154384,1
92943,1
52639,0
42670,0
39193,0
232111,0
211101,0
190734,0
180303,0
91661,0
4524,0
41572,0
221192,0
109725,1
64929,1
120284,0
91211,0
235317,1
73350,0
203097,0
118583,0
203020,0
92167,0
36513,0
41088,0
190038,0
101934,1
176404,0
51484,0
160551,0
13253,0
157845,0
68324,0
153656,0
93668,1
80794,1
86363,0
120768,0
200414,0
113376,1
73246,0
193437,0
229708,0
223897,0
103322,0
189879,0
7293,0
55225,0
98852,0
227376,0
107186,0
132968,0
219788,1
145666,0
214861,1
169591,0
110558,0
46453,0
196861,0
138581,1
174521,1
91147,1
51132,0
25976,0
8125,0
48981,1
157626,0
64303,0
191550,0
123974,1
37906,1
193972,0
93471,0
236198,1
37503,1
13425,0
233642,1
17270,1
68298,1
221077,0
19509,0
33439,0
161352,0
105867,1
160579,0
165456,0
65389,1
146111,0
224209,1
211414,1
164735,1
48292,0
184842,1
103042,0
65097,0
206923,0
51631,1
229659,0
71721,0
46289,0
234510,0
222053,0
71369,1
227341,0
193172,1
101935,0
63395,0
145416,1
80081,0
176761,0
149860,0
173814,1
142204,0
172555,0
63710,1
228883,0
223354,0
184933,0
95447,0
200112,1
52224,0
65578,1
131009,1
9462,0
3021,0
32483,1
57981,0
104380,0
164262,0
218526,0
132509,0
138354,1
142572,0
95067,1
88859,0
83945,0
133509,1
143488,0
225878,1
205094,0
43157,0
55864,1
148366,0
105830,0
58365,1
163087,0
37659,0
34967,0
89177,0
55921,1
212778,1
100502,1
200880,0
144784,1
126406,0
162340,1
53881,1
52205,0
4729,0
140244,0
166063,0
15606,0
58452,0
25438,0
237564,0
61280,0
80260,0
203355,0
92708,0
158150,0
163719,0
191047,1
94927,1
138723,1
93472,0
80920,0
11495,1
95167,1
145450,1
217233,0
192101,1
130808,1
131560,0
7062,0
128161,1
189865,0
128185,1
159538,1
55436,0
163553,0
68255,1
219761,1
25192,0
85328,0
149041,0
107643,1
101232,0
62827,0
79041,0
121776,1
150032,0
1536,1
171502,0
108182,0
116825,0
23023,1
221465,0
61081,0
54545,1
93906,0
13686,0
208596,0
146662,0
161869,0
20194,0
6337,0
44799,0
102598,1
14269,0
104505,1
8892,0
231661,1
161902,0
171376,0
137127,1
84692,0
194984,0
111134,0
185563,1
225010,1
163958,1
128380,1
198759,1
5847,0
113226,0
159198,0
129367,1
203626,1
231976,0
213160,1
145492,0
98487,0
58556,0
154622,0
19460,0
174471,0
144798,0
230114,0
115174,0
185581,1
239216,1
207264,0
206032,0
108550,0
16806,0
233413,0
119344,0
147130,0
230033,0
2377,0
30812,0
37082,0
96365,0
2373,0
69126,1
19617,1
143174,0
204399,0
159124,1
71969,0
114633,0
180161,1
81308,0
70580,0
175609,1
51961,0
205914,0
40788,1
153023,0
118340,0
192568,1
86139,0
70258,0
10839,1
212379,0
4000,0
135771,0
19226,0
210393,0
231995,0
48012,0
95200,0
215834,0
63272,0
35451,1
161326,1
16943,0
186137,0
151451,1
26784,0
34547,1
91953,0
34913,0
210973,1
100842,0
178455,0
191502,1
183167,0
68659,0
44890,0
116459,1
5661,0
140635,0
224050,1
117396,0
234908,0
6831,0
120939,0
147368,0
12537,0
87390,0
78042,1
155906,1
85610,0
185001,0
235716,0
