,death
66690,0
59720,0
84557,0
19463,0
113985,0
14543,0
86227,1
187782,1
51349,0
197361,1
62617,0
67555,1
77447,0
165111,0
199358,0
174407,1
209016,0
62139,0
207967,0
155512,1
47800,1
46888,0
96935,0
80139,0
179436,1
136120,0
94557,0
131672,0
141746,1
156619,0
13625,1
196253,0
110256,0
114187,0
14835,1
147585,0
30574,0
37043,1
187012,1
59433,1
21625,1
33762,0
122432,1
120546,1
168999,0
150472,0
156539,0
16380,1
188176,0
159503,0
208474,1
130747,0
16895,0
198599,1
79580,0
208795,0
47813,0
87077,1
93622,0
29841,1
182209,1
189987,0
45357,1
92058,0
74484,0
59706,0
74879,0
49510,0
71936,1
147070,1
37771,1
165663,1
63320,0
173490,0
185101,0
176298,0
140688,0
25930,1
64392,0
195185,0
97370,1
86991,0
29743,1
194679,1
93387,0
90712,0
100566,1
18375,0
78565,0
125454,1
214517,1
216004,0
122160,0
136939,0
186710,1
10953,0
91478,0
153283,0
208527,0
98459,1
87578,0
59667,0
158939,0
156808,0
167254,1
44287,1
202498,0
194237,1
113207,1
124291,0
164104,1
96592,0
143462,0
63231,1
36604,0
195045,0
152263,0
161600,0
78997,1
106483,1
153214,1
3882,0
20122,0
6588,1
125567,0
208716,0
166973,0
201152,0
97004,1
216162,0
65954,1
97565,0
52016,0
46116,0
127256,0
111058,0
184880,1
149737,0
19967,0
2359,1
154150,1
32099,0
180812,1
49488,0
106343,0
3244,0
161450,0
165599,1
78524,1
134599,0
4382,1
122944,0
57559,0
154303,1
106052,0
93672,0
135922,0
162539,1
43755,1
160069,1
28234,0
175674,0
202954,0
83215,0
65287,0
62423,0
49757,0
139494,0
78441,0
75692,0
36737,1
33579,0
163107,1
212352,0
46102,1
84916,1
168356,0
186460,0
89671,0
215557,0
188086,0
165790,1
62295,0
44576,1
70030,1
8067,0
37025,0
94329,0
197242,1
176514,0
3585,0
204238,1
90910,0
210607,1
127720,0
188901,0
59114,0
141176,1
102034,1
73524,1
74622,0
43081,1
174394,0
174755,0
84345,1
187661,1
206864,0
141393,0
132097,0
200474,0
69486,1
126202,0
188085,1
126448,0
79758,0
122176,0
63571,0
9821,0
141668,1
80458,1
102349,0
40331,1
185688,0
78842,0
164422,1
42295,0
19854,1
32369,1
2710,0
111794,1
189339,0
116699,0
48783,0
187859,1
9519,0
19225,1
142507,0
44384,0
108901,1
212286,1
51389,0
151455,0
91289,1
102483,0
177722,0
69206,0
156814,0
187219,0
90760,0
104986,0
160380,1
192355,0
4284,0
56987,0
206760,0
14255,0
137523,0
195966,0
204724,1
215769,0
8937,0
108636,0
9728,0
29947,0
35863,0
178760,0
77162,0
174737,1
34838,0
109357,1
116797,1
61806,0
138953,0
140251,1
29535,0
104323,1
78972,0
18735,0
189918,0
128913,0
33610,0
17595,0
65490,0
71437,0
214778,0
40652,1
104556,1
112060,1
203434,1
166548,1
15182,1
55188,1
169911,0
13882,0
209467,1
55992,1
36239,1
40731,1
204163,1
132958,0
145200,0
64263,1
206642,0
203256,1
202823,0
75785,0
195254,1
203942,0
73110,0
90177,0
43815,0
72884,1
216192,0
181605,0
200280,1
19336,0
180102,0
143817,1
37894,0
132854,0
149939,1
76257,1
67026,0
140270,0
93886,0
46111,0
97238,0
30167,0
141605,0
54432,1
196683,1
198708,0
53545,0
58188,0
48730,0
73650,1
1147,0
88305,0
136983,0
147502,0
46274,0
195720,1
173786,0
72662,0
38179,0
136017,1
159319,0
122306,1
149506,0
186250,1
53822,0
130058,1
200359,1
56824,0
106215,0
11733,0
144165,1
61301,0
209679,0
141402,0
71188,0
1752,0
83594,0
68912,1
200843,1
211267,0
131308,1
57302,0
92395,0
75641,1
212312,0
70606,0
151939,0
70515,1
71070,1
71907,1
12042,0
39518,0
47747,1
76495,0
211389,1
114052,1
159273,1
177816,1
60516,1
16563,1
3655,1
119845,0
161111,0
125539,0
118023,1
162257,0
56477,0
77637,0
185319,0
204314,1
154179,0
153050,1
25102,0
3479,0
102166,0
104086,0
193296,0
380,0
3450,0
132496,0
164834,0
53874,1
16076,1
141103,0
14223,0
136246,1
58734,0
107634,1
178391,0
1188,1
13595,0
68121,0
30654,0
105028,0
211089,1
92268,0
52872,0
16097,0
116163,1
11202,0
185667,0
192694,0
181651,0
63903,1
185248,0
213518,0
96097,0
134301,0
76493,0
38196,1
51669,0
202967,1
121924,0
194095,0
196022,0
39413,0
175904,0
138795,0
3502,0
3241,0
64191,0
158670,1
146109,0
48151,0
125650,0
202710,0
132459,0
119999,0
79987,0
85695,1
15699,0
128114,0
191175,0
57941,0
203134,1
5500,0
36210,1
11611,0
85960,1
168746,0
158851,0
23737,0
82161,0
65927,1
32906,0
1481,0
137016,1
58231,0
191398,0
198586,1
22917,1
197410,0
78252,1
134735,0
30706,0
86883,1
37719,1
122205,1
98711,0
111590,0
159358,0
31228,0
41489,1
58761,0
37872,0
159822,0
60025,1
174417,0
164485,0
111522,0
186762,1
189768,0
283,0
202569,1
131312,0
41251,0
107974,1
190960,0
137030,0
74232,0
132602,1
171368,1
195605,0
106020,0
8205,1
62109,0
162976,0
193237,0
79980,1
14949,0
175630,0
99707,0
74045,0
110688,0
110122,0
205691,1
130758,0
17905,1
99611,1
85712,0
36869,1
168304,0
209186,0
157171,0
207692,0
75881,0
124151,1
68553,1
196107,0
146060,0
68741,0
143031,0
115184,0
102402,1
36034,0
172074,0
34367,0
198352,0
79266,0
2723,1
