,cluster
0,2
1,1
5,2
6,3
8,1
9,2
10,3
11,3
12,1
13,3
17,0
18,0
19,2
20,0
21,2
23,1
28,0
29,3
30,3
31,3
34,0
37,0
38,3
39,3
40,3
41,0
43,2
45,2
50,2
51,3
54,0
55,0
56,0
57,2
59,0
62,3
63,0
65,2
67,2
70,2
71,2
73,3
80,3
81,3
85,3
86,2
90,3
92,0
94,0
95,2
96,1
97,2
100,3
101,2
104,1
105,3
107,3
109,0
112,0
117,0
120,3
121,0
123,0
124,3
125,2
126,2
127,2
129,3
130,2
133,2
136,1
137,3
139,1
142,2
143,3
144,2
146,1
147,3
148,1
149,3
151,3
152,1
153,0
156,3
161,1
163,2
165,1
166,0
167,3
168,3
169,3
170,3
173,0
174,0
175,3
176,3
178,0
182,1
185,3
187,1
188,3
189,0
190,2
192,3
194,3
196,3
198,3
199,3
200,3
201,3
202,3
210,3
212,0
213,0
214,3
216,3
217,3
218,0
220,1
221,0
222,1
223,3
224,0
225,0
226,3
227,3
229,0
231,2
232,3
233,1
235,0
237,3
238,2
239,3
240,0
241,3
242,3
243,2
244,3
245,0
246,0
248,3
249,3
250,2
251,1
252,3
253,2
254,3
255,2
256,3
257,1
261,2
263,3
264,3
267,3
268,1
270,3
273,0
274,2
275,1
276,3
279,3
285,3
286,2
287,1
291,3
293,3
296,3
298,2
299,3
301,0
303,0
304,3
307,3
311,0
313,3
315,1
317,3
318,2
321,2
323,3
324,0
325,3
328,3
329,1
331,3
332,0
333,2
334,1
338,2
339,1
340,3
341,2
343,3
344,2
345,3
346,0
351,0
352,2
357,0
358,1
359,2
361,2
362,0
363,3
365,3
367,3
368,3
369,3
370,0
371,1
373,1
374,1
375,3
376,3
378,2
380,0
384,3
385,2
386,2
387,1
389,2
390,0
391,0
392,2
394,1
396,0
397,2
398,2
400,2
401,0
403,2
405,2
406,0
409,3
410,0
411,3
413,3
415,2
416,3
417,0
418,2
419,3
422,3
429,2
430,3
431,0
435,3
436,0
438,2
441,2
443,0
444,1
445,3
447,1
450,0
451,3
452,2
454,0
456,1
458,2
459,1
460,2
461,1
464,1
465,0
466,3
467,2
471,3
472,2
473,3
474,3
476,3
477,3
478,1
479,3
481,0
482,0
484,3
486,3
488,3
489,0
492,0
493,3
496,2
499,3
500,1
501,2
504,2
506,1
507,0
511,0
515,0
517,0
518,1
519,1
522,2
523,0
524,0
525,1
527,3
528,0
530,3
531,3
532,1
533,3
534,2
535,0
536,3
537,0
538,0
539,3
540,0
541,1
543,0
544,2
546,3
547,3
551,3
555,1
559,0
562,1
564,2
565,3
566,3
568,1
570,2
571,3
572,3
574,3
575,3
577,0
578,1
582,0
583,2
584,2
587,0
589,0
590,0
591,0
593,3
594,1
595,1
596,0
597,3
598,3
600,2
606,3
607,1
609,3
611,3
613,2
614,2
618,3
623,3
625,3
626,3
628,1
629,0
631,3
632,0
634,3
635,1
636,1
637,3
643,3
645,0
648,3
652,0
655,3
656,2
659,2
662,2
665,3
666,0
667,0
668,0
670,0
672,2
673,1
674,2
677,0
680,1
681,2
682,0
683,3
684,0
685,2
688,0
689,1
691,0
694,3
695,0
696,3
697,0
699,2
702,3
706,0
708,3
709,3
710,3
711,0
713,2
717,2
718,3
719,0
720,2
722,2
725,3
728,0
729,3
732,2
736,0
740,0
746,0
747,3
749,1
750,3
753,3
755,0
757,3
759,1
761,2
763,2
764,1
765,3
767,0
769,1
770,2
771,3
772,0
773,0
774,2
775,2
776,3
780,2
781,2
785,0
786,0
787,0
788,2
789,3
790,3
791,1
792,3
793,3
795,3
796,2
797,2
802,2
803,3
804,2
805,3
809,3
810,0
812,3
813,3
817,2
818,3
819,1
820,3
822,0
824,0
825,0
826,0
827,0
828,2
829,3
831,3
832,3
837,1
839,3
842,1
843,0
844,3
845,2
846,1
848,0
850,0
851,3
853,1
854,0
858,3
859,2
861,2
866,0
868,2
869,0
870,2
871,1
872,1
873,2
877,3
878,0
881,2
885,0
887,2
889,3
890,3
891,0
892,1
893,1
895,1
896,3
898,0
900,3
901,3
903,3
904,2
905,3
906,3
909,3
912,2
913,3
914,2
917,3
920,2
921,1
923,3
924,2
925,2
928,0
933,3
934,1
935,1
936,2
940,3
944,2
946,2
947,2
948,3
954,3
955,2
956,1
957,3
958,0
960,2
962,0
963,2
965,3
967,0
969,2
973,3
974,3
978,1
979,2
980,1
982,2
983,2
984,1
985,3
986,3
987,1
988,3
989,2
990,0
991,0
995,0
996,3
998,0
999,0
1001,0
1002,2
1005,3
1006,0
1008,3
1009,3
1010,3
1011,0
1012,1
1014,0
1015,0
1016,0
1017,1
1018,2
1020,2
1022,3
1023,3
1024,3
1025,0
1026,3
1027,0
1034,1
1037,1
1038,3
1039,0
1042,0
1043,0
1045,0
1047,0
1050,3
1051,0
1055,1
1057,0
1058,0
1060,1
1061,3
1062,1
1063,3
1064,3
1066,0
1067,3
1068,3
1070,2
1076,2
1077,3
1084,3
1085,3
1086,0
1087,3
1088,2
1089,3
1090,0
1092,2
1093,3
1094,3
1098,1
1099,0
1101,1
1102,3
1105,3
1107,1
1108,1
1109,3
1110,3
1111,0
1112,3
1114,2
1115,0
1119,3
1125,0
1126,3
1127,3
1130,3
1131,3
1133,3
1135,2
1137,0
1138,0
1139,0
1140,1
1141,0
1142,3
1144,3
1145,3
1147,1
1148,3
1149,1
1151,1
1152,3
1153,1
1155,0
1157,2
1158,3
1159,0
1163,0
1165,3
1166,2
1169,1
1172,0
1173,0
1174,3
1175,3
1177,3
1178,3
1180,1
1182,0
1183,3
1184,2
1185,3
1186,3
1188,3
1190,2
1192,1
1193,3
1194,3
1195,2
1198,0
1199,3
1204,1
1206,0
1208,1
1210,3
1213,0
1214,0
1215,2
1216,0
1217,0
1218,0
1223,0
1226,2
1228,2
1229,0
1230,0
1231,3
1235,3
1238,1
