,cluster
0,2
1,1
2,2
3,3
4,1
5,2
6,3
7,3
8,1
9,3
10,0
11,0
12,2
13,0
14,2
15,1
16,0
17,3
18,3
19,3
20,0
21,0
22,3
23,3
24,3
25,0
26,2
27,2
28,2
29,3
30,0
31,0
32,0
33,2
34,0
35,3
36,0
37,2
38,2
39,2
40,2
41,3
42,3
43,3
44,3
45,2
46,3
47,0
48,0
49,2
50,1
51,2
52,3
53,2
54,1
55,3
56,3
57,0
58,0
59,0
60,3
61,0
62,0
63,3
64,2
65,2
66,2
67,3
68,2
69,2
70,1
71,3
72,1
73,2
74,3
75,2
76,1
77,3
78,1
79,3
80,3
81,1
82,0
83,3
84,1
85,2
86,1
87,0
88,3
89,3
90,3
91,3
92,0
93,0
94,3
95,3
96,0
97,1
98,3
99,1
100,3
101,0
102,2
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,0
113,0
114,3
115,3
116,3
117,0
118,1
119,0
120,1
121,3
122,0
123,0
124,3
125,3
126,0
127,2
128,3
129,1
130,0
131,3
132,2
133,3
134,0
135,3
136,3
137,2
138,3
139,0
140,0
141,3
142,3
143,2
144,1
145,3
146,2
147,3
148,2
149,3
150,1
151,2
152,3
153,3
154,3
155,1
156,3
157,0
158,2
159,1
160,3
161,3
162,3
163,2
164,1
165,3
166,3
167,3
168,2
169,3
170,0
171,0
172,3
173,3
174,0
175,3
176,1
177,3
178,2
179,2
180,3
181,0
182,3
183,3
184,1
185,3
186,0
187,2
188,1
189,2
190,1
191,3
192,2
193,3
194,2
195,3
196,0
197,0
198,2
199,0
200,1
201,2
202,2
203,0
204,3
205,3
206,3
207,3
208,3
209,0
210,1
211,1
212,1
213,3
214,3
215,2
216,0
217,3
218,2
219,2
220,1
221,2
222,0
223,0
224,2
225,1
226,0
227,2
228,2
229,2
230,0
231,2
232,2
233,0
234,3
235,0
236,3
237,3
238,2
239,3
240,0
241,2
242,3
243,3
244,2
245,3
246,0
247,3
248,0
249,2
250,2
251,0
252,1
253,3
254,1
255,0
256,3
257,2
258,0
259,1
260,2
261,1
262,2
263,1
264,1
265,0
266,3
267,2
268,3
269,2
270,3
271,3
272,3
273,3
274,1
275,3
276,0
277,0
278,3
279,3
280,3
281,0
282,0
283,3
284,2
285,3
286,1
287,2
288,2
289,1
290,0
291,0
292,0
293,0
294,1
295,1
296,2
297,0
298,0
299,1
300,3
301,0
302,3
303,3
304,1
305,3
306,2
307,0
308,3
309,0
310,0
311,3
312,0
313,1
314,0
315,2
316,3
317,3
318,3
319,1
320,0
321,1
322,2
323,3
324,3
325,1
326,2
327,3
328,3
329,3
330,3
331,0
332,1
333,0
334,2
335,2
336,0
337,0
338,0
339,0
340,3
341,1
342,1
343,0
344,3
345,3
346,2
347,3
348,1
349,3
350,3
351,2
352,2
353,3
354,3
355,3
356,3
357,1
358,0
359,3
360,0
361,3
362,1
363,1
364,3
365,3
366,0
367,3
368,0
369,3
370,2
371,2
372,2
373,3
374,0
375,0
376,0
377,0
378,2
379,1
380,2
381,0
382,1
383,2
384,0
385,3
386,0
387,2
388,0
389,1
390,0
391,3
392,0
393,3
394,0
395,2
396,3
397,0
398,3
399,3
400,3
401,0
402,2
403,2
404,3
405,0
406,2
407,2
408,3
409,0
410,3
411,2
412,0
413,0
414,0
415,3
416,1
417,3
418,3
419,0
420,3
421,1
422,2
423,2
424,1
425,3
426,0
427,1
428,2
429,3
430,0
431,0
432,2
433,2
434,3
435,2
436,2
437,0
438,0
439,0
440,2
441,3
442,3
443,1
444,3
445,3
446,3
447,2
448,2
449,2
450,3
451,2
452,3
453,3
454,0
455,3
456,3
457,2
458,3
459,1
460,3
461,0
462,0
463,0
464,0
465,0
466,2
467,3
468,3
469,3
470,1
471,3
472,1
473,0
474,3
475,2
476,1
477,0
478,0
479,3
480,1
481,0
482,3
483,2
484,2
485,0
486,2
487,0
488,2
489,1
490,1
491,2
492,3
493,0
494,2
495,0
496,2
497,3
498,3
499,0
500,1
501,1
502,1
503,3
504,0
505,3
506,3
507,3
508,2
509,3
510,3
511,3
512,2
513,3
514,2
515,3
516,2
517,1
518,3
519,2
520,2
521,0
522,3
523,1
524,1
525,2
526,3
527,2
528,2
529,2
530,3
531,3
532,2
533,1
534,3
535,0
536,2
537,0
538,2
539,3
540,0
541,2
542,3
543,3
544,1
545,2
546,1
547,2
548,2
549,1
550,3
551,3
552,1
553,3
554,2
555,0
556,0
557,0
558,3
559,0
560,0
561,0
562,2
563,3
564,0
565,3
566,3
567,3
568,0
569,1
570,0
571,0
572,0
573,1
574,2
575,2
576,3
577,3
578,3
579,0
580,3
581,0
582,1
583,1
584,3
585,0
586,0
587,0
588,0
589,0
590,3
591,0
592,1
593,0
594,0
595,1
596,3
597,1
598,3
599,3
600,0
601,3
602,3
603,2
604,2
605,3
606,3
607,3
608,0
609,3
610,2
611,3
612,0
613,2
614,3
615,3
616,1
617,0
618,1
619,3
620,3
621,1
622,1
623,3
624,3
625,0
626,3
627,2
628,0
629,3
630,0
631,3
632,3
633,3
634,3
635,3
636,2
637,0
638,0
639,0
640,1
641,0
642,3
643,3
644,3
645,1
646,3
647,1
648,1
649,3
650,1
651,0
652,2
653,3
654,0
655,0
656,3
657,2
658,1
659,0
660,0
661,3
662,3
663,3
664,3
665,1
666,0
667,3
668,2
669,3
670,3
671,3
672,2
673,1
674,3
675,3
676,2
677,0
678,3
679,1
680,0
681,1
682,3
683,0
684,0
685,2
686,0
687,0
688,0
689,0
690,2
691,2
692,0
693,0
694,3
695,3
696,1
697,1
698,3
699,3
700,0
701,2
702,3
703,0
704,3
705,1
706,0
707,3
708,0
709,0
710,1
711,0
712,0
713,2
714,0
715,3
716,1
717,1
718,3
719,3
720,0
721,3
722,0
723,0
724,1
725,1
726,3
727,2
728,2
729,3
730,0
