,cluster
0,0
1,2
5,0
6,2
8,2
9,0
10,1
11,1
12,2
13,1
17,3
18,3
19,0
20,3
21,0
23,2
28,3
29,1
30,1
31,1
34,3
37,3
38,1
39,1
40,1
41,3
43,0
45,0
50,0
51,1
54,3
55,3
56,3
57,0
59,3
62,1
63,3
65,0
67,0
70,0
71,0
73,1
80,1
81,1
85,2
86,0
90,1
92,3
94,3
95,0
96,2
97,0
100,2
101,0
104,2
105,1
107,1
109,3
112,3
117,3
120,1
121,3
123,3
124,1
125,0
126,0
127,0
129,1
130,0
133,0
136,2
137,2
139,2
142,0
143,1
144,0
146,2
147,1
148,2
149,1
151,2
152,2
153,3
156,1
161,2
163,0
165,2
166,3
167,1
168,1
169,1
170,1
173,3
174,3
175,1
176,1
178,3
182,2
185,1
187,2
188,1
189,3
190,0
192,1
194,2
196,1
198,1
199,1
200,2
201,1
202,1
210,1
212,3
213,3
214,1
216,2
217,2
218,3
220,2
221,3
222,2
223,1
224,3
225,3
226,2
227,1
229,3
231,0
232,2
233,2
235,3
237,1
238,0
239,1
240,3
241,2
242,1
243,0
244,1
245,3
246,3
248,1
249,1
250,0
251,2
252,1
253,0
254,1
255,0
256,1
257,2
261,0
263,1
264,1
267,2
268,2
270,1
273,3
274,0
275,2
276,1
279,2
285,1
286,0
287,2
291,1
293,2
296,1
298,0
299,1
301,3
303,3
304,1
307,1
311,3
313,1
315,2
317,1
318,0
321,0
323,1
324,3
325,1
328,1
329,2
331,1
332,3
333,0
334,2
338,0
339,2
340,1
341,0
343,1
344,0
345,1
346,3
351,3
352,0
357,3
358,2
359,0
361,0
362,3
363,1
365,1
367,1
368,1
369,1
370,3
371,2
373,2
374,2
375,2
376,1
378,0
380,3
384,2
385,0
386,0
387,2
389,0
390,3
391,3
392,0
394,2
396,3
397,0
398,0
400,0
401,3
403,0
405,0
406,3
409,2
410,3
411,1
413,1
415,0
416,2
417,3
418,0
419,2
422,1
429,0
430,1
431,3
435,1
436,3
438,0
441,0
443,3
444,2
445,1
447,2
450,3
451,1
452,0
454,3
456,2
458,0
459,2
460,0
461,2
464,2
465,3
466,2
467,0
471,1
472,0
473,1
474,1
476,1
477,1
478,2
479,1
481,3
482,3
484,1
486,2
488,2
489,3
492,3
493,1
496,0
499,1
500,2
501,2
504,0
506,2
507,3
511,3
515,3
517,3
518,2
519,2
522,0
523,3
524,3
525,2
527,1
528,3
530,1
531,1
532,2
533,1
534,0
535,3
536,1
537,3
538,3
539,1
540,3
541,2
543,3
544,0
546,1
547,2
551,1
555,2
559,3
562,2
564,0
565,1
566,1
568,2
570,0
571,1
572,1
574,1
575,2
577,3
578,2
582,3
583,0
584,0
587,3
589,3
590,3
591,3
593,1
594,2
595,2
596,3
597,2
598,1
600,0
606,1
607,2
609,1
611,1
613,0
614,0
618,1
623,1
625,1
626,1
628,2
629,3
631,2
632,3
634,2
635,2
636,2
637,1
643,2
645,3
648,1
652,3
655,1
656,0
659,0
662,0
665,2
666,3
667,3
668,3
670,3
672,0
673,2
674,0
677,3
680,2
681,0
682,3
683,2
684,3
685,0
688,3
689,2
691,3
694,1
695,3
696,1
697,3
699,0
702,1
706,3
708,2
709,2
710,1
711,3
713,0
717,0
718,1
719,3
720,0
722,0
725,2
728,3
729,2
732,0
736,3
740,3
746,3
747,1
749,2
750,1
753,2
755,3
757,1
759,2
761,0
763,0
764,2
765,1
767,3
769,2
770,0
771,1
772,3
773,3
774,0
775,0
776,1
780,0
781,0
785,3
786,3
787,3
788,0
789,1
790,1
791,2
792,1
793,1
795,1
796,0
797,0
802,0
803,1
804,0
805,1
809,1
810,3
812,2
813,1
817,0
818,1
819,2
820,1
822,3
824,3
825,3
826,3
827,3
828,0
829,1
831,1
832,1
837,2
839,1
842,2
843,3
844,1
845,0
846,2
848,3
850,3
851,1
853,2
854,3
858,1
859,0
861,0
866,3
868,0
869,3
870,0
871,2
872,2
873,0
877,1
878,3
881,0
885,3
887,0
889,2
890,1
891,3
892,2
893,2
895,2
896,1
898,3
900,2
901,1
903,1
904,0
905,1
906,1
909,1
912,0
913,1
914,0
917,1
920,0
921,2
923,1
924,0
925,0
928,3
933,1
934,2
935,2
936,0
940,1
944,0
946,0
947,0
948,1
954,2
955,0
956,2
957,2
958,3
960,0
962,3
963,0
965,1
967,3
969,0
973,1
974,1
978,2
979,0
980,2
982,0
983,0
984,2
985,1
986,1
987,2
988,1
989,0
990,3
991,3
995,3
996,2
998,3
999,3
1001,3
1002,0
1005,1
1006,3
1008,1
1009,2
1010,1
1011,3
1012,2
1014,3
1015,3
1016,3
1017,2
1018,0
1020,0
1022,1
1023,1
1024,2
1025,3
1026,1
1027,3
1034,2
1037,2
1038,1
1039,3
1042,3
1043,3
1045,3
1047,3
1050,1
1051,3
1055,2
1057,3
1058,3
1060,2
1061,1
1062,2
1063,1
1064,1
1066,3
1067,2
1068,1
1070,0
1076,0
1077,1
1084,1
1085,1
1086,3
1087,1
1088,0
1089,1
1090,3
1092,0
1093,1
1094,1
1098,2
1099,3
1101,2
1102,1
1105,1
1107,2
1108,2
1109,1
1110,1
1111,3
1112,2
1114,0
1115,3
1119,1
1125,3
1126,2
1127,1
1130,1
1131,1
1133,1
1135,0
1137,3
1138,3
1139,3
1140,2
1141,3
1142,1
1144,1
1145,1
1147,2
1148,1
1149,2
1151,2
1152,2
1153,2
1155,3
1157,0
1158,2
1159,3
1163,3
1165,1
1166,0
1169,2
1172,3
1173,3
1174,1
1175,1
1177,1
1178,1
1180,2
1182,3
1183,2
1184,0
1185,1
1186,1
1188,1
1190,0
1192,2
1193,1
1194,1
1195,0
1198,3
1199,1
1204,2
1206,3
1208,2
1210,1
1213,3
1214,3
1215,0
1216,3
1217,3
1218,3
1223,3
1226,0
1228,0
1229,3
1230,3
1231,1
1235,1
1238,2
1240,2
1241,1
1242,1
1243,3
1245,0
1248,1
1251,3
1252,2
1253,2
1255,3
1256,2
1258,3
1259,3
1263,2
1269,3
1270,3
1273,0
1274,3
1275,1
1276,2
1280,2
1282,1
1283,1
1284,3
1286,1
1287,3
1289,3
1291,2
1293,2
1294,2
1295,0
1297,0
1298,1
1299,3
1300,0
1302,3
1303,3
1306,3
1307,0
1308,1
1311,3
1312,0
1317,2
1318,2
1321,3
1324,2
1325,1
1326,0
1327,2
1328,1
1330,1
1331,1
1336,1
1337,0
1339,1
1340,0
1342,2
1346,2
1348,0
1350,0
1352,3
1354,2
1355,0
1356,1
1357,1
1358,3
1359,2
1361,0
1362,1
1363,2
1365,1
1366,2
1367,1
1368,1
1369,1
1370,3
1373,2
1375,1
1376,3
1379,1
1380,3
1382,1
1383,1
1384,3
1385,0
1386,0
1388,2
1389,2
1390,2
1391,1
1392,3
1393,0
1395,0
1396,2
1400,2
1401,3
1403,3
1404,0
1405,1
1406,2
1407,3
1408,0
1409,3
1410,0
1411,0
1412,0
1413,2
1416,0
1417,2
1419,1
1420,1
1421,3
1422,1
1423,2
1424,1
1425,1
1427,2
1428,2
1431,0
1432,0
1433,1
1435,2
1436,0
1438,3
1439,2
1440,3
1441,2
1443,2
1445,2
1446,3
1448,2
1450,3
1451,3
1454,3
1456,1
1457,3
1458,2
1462,3
1465,3
1471,3
1472,3
1474,3
1477,1
1478,2
1481,1
1482,0
1484,3
1485,2
1487,0
1489,1
1490,0
1491,1
1492,0
1495,1
1498,1
1499,0
1501,3
1502,1
1503,0
1507,2
1508,1
1509,0
1510,2
1511,3
1513,1
1514,2
1516,3
1517,0
1518,0
1519,3
1520,1
1521,3
1522,3
1523,0
1525,1
1526,1
1529,3
1531,0
1532,0
1534,1
1536,3
1539,1
1540,1
1542,1
1544,0
1545,1
1548,3
1551,0
1552,1
1553,2
1554,2
1555,1
1556,3
1557,1
1558,1
1559,1
1560,2
1562,1
1565,0
1567,1
1568,2
1573,3
1575,0
1577,0
1580,0
1581,3
1582,1
1583,1
1586,0
1588,2
1589,3
1590,3
1593,3
1594,0
1596,2
1597,3
1598,3
1600,0
1605,2
1607,2
1609,1
1611,3
1613,1
1615,1
1616,3
1617,3
1618,3
1620,1
1622,1
1624,3
1625,3
1626,2
1627,1
1628,0
1629,2
1631,1
1632,3
1634,1
1635,0
1636,0
1637,0
1639,0
1642,0
1644,1
1647,3
1648,3
1650,3
1651,1
1652,1
1653,3
1654,0
1659,0
1660,2
1662,2
1663,2
1666,0
1667,2
1669,1
1671,1
1672,0
1673,1
1674,1
1675,1
1678,2
1679,0
1680,1
1683,2
1685,1
1687,3
1688,0
1695,1
1697,3
1699,1
1700,2
1701,0
1702,0
1703,3
1704,0
1705,0
1706,1
1707,3
1708,1
1710,0
1712,3
1714,2
1715,0
1716,0
1719,0
1720,1
1722,0
1723,2
1726,0
1727,3
1728,3
1729,1
1730,3
1732,0
1734,0
1736,0
1740,1
1742,1
1743,3
1744,0
1745,2
1747,0
1749,3
1750,1
1751,3
1752,2
1754,2
1756,1
1757,2
1758,0
1759,0
1760,0
1765,1
1767,3
1768,0
1770,2
1772,1
1774,1
1777,2
1778,2
1779,0
1780,1
1783,1
1784,1
1785,0
1786,0
1788,0
1789,1
1793,3
1794,2
1798,0
1799,0
1800,0
1801,0
1803,1
1804,3
1805,3
1808,3
1809,0
1810,1
1812,2
1814,3
1815,1
1817,1
1818,3
1820,2
1821,2
1823,3
1825,0
1826,1
1827,0
1828,2
1832,3
1838,1
1840,3
1841,1
1843,3
1846,1
1847,0
1849,1
1850,3
1852,2
1857,2
1859,0
1860,1
1861,0
1863,2
1864,1
1865,3
1866,1
1869,3
1871,1
1872,1
1873,1
1874,2
1875,2
1876,3
1877,3
1880,2
1881,1
1885,1
1887,1
1890,1
1891,0
1894,0
1895,2
1898,1
1901,3
1906,3
1908,1
1911,1
1913,2
1914,2
1915,0
1916,3
1917,1
1920,0
1921,3
1922,3
1929,2
1930,3
1931,1
1932,2
1934,0
1936,3
1941,1
1942,1
1945,3
1946,0
1949,3
1950,2
1952,3
1953,2
1956,0
1957,2
1958,1
1959,0
1962,3
1965,1
1966,0
1967,3
1968,1
1969,3
1970,2
1973,1
1976,0
1982,2
1983,1
1985,3
1986,3
1988,3
1991,1
1996,2
1997,3
1999,2
2003,3
2005,3
2006,1
2007,2
2008,3
2011,1
2014,1
2016,3
2020,0
2021,2
2022,2
2023,2
