,cluster
19,0
21,1
67,1
117,1
121,1
124,1
142,1
143,1
152,0
178,1
187,0
224,1
237,1
240,1
245,1
264,1
274,1
286,1
291,1
298,1
368,1
386,1
397,1
406,0
413,1
436,0
452,1
458,1
460,1
465,1
530,-1
535,1
537,1
565,1
629,0
681,1
699,1
711,1
717,1
720,1
769,2
770,1
774,1
780,1
796,0
804,1
872,0
887,1
890,1
1005,1
1009,0
1016,0
1018,1
1027,1
1037,2
1076,1
1111,1
1115,1
1137,1
1149,0
1166,1
1190,1
1217,0
1228,1
1245,1
1284,1
1295,1
1306,1
1326,1
1340,1
1386,1
1395,1
1396,0
1431,1
1432,1
1439,0
1441,0
1482,1
1487,3
1517,1
1522,0
1526,1
1529,1
1531,1
1580,1
1581,1
1586,1
1596,0
1597,1
1600,1
1618,1
1642,1
1644,1
1654,3
1660,2
1663,0
1687,1
1699,4
1703,1
1710,1
1719,1
1722,1
1734,1
1744,1
1745,0
1747,0
1768,1
1798,1
1804,1
1809,1
1825,1
1852,0
1857,0
1887,1
1894,1
1906,1
1920,1
1934,3
1956,3
1957,-1
1976,1
2003,0
2011,1
2020,1
2035,1
2039,3
2041,1
2052,1
2076,0
2101,0
2108,0
2128,1
2135,1
2143,1
2154,0
2197,1
2232,1
2237,1
2244,0
2257,1
2315,1
2316,0
2326,0
2334,1
2354,0
2358,0
2381,0
2396,1
2441,3
2443,1
2463,0
2495,3
2511,0
2532,1
2567,1
2579,1
2592,1
2607,1
2649,1
2656,1
2664,1
2688,1
2690,1
2691,1
2731,1
2732,3
2738,1
2744,1
2745,1
2753,1
2765,1
2788,0
2808,0
2855,1
2857,1
2932,1
2964,1
2980,1
2985,1
2996,1
3005,1
3026,1
3045,1
3058,1
3075,0
3076,1
3120,0
3155,1
3165,1
3193,1
3201,1
3226,1
3228,1
3241,1
3243,0
3259,1
3293,1
3318,0
3341,1
3351,1
3361,1
3381,1
3407,1
3410,1
3468,1
3496,0
3533,1
3575,1
3605,1
3622,0
3639,0
3688,2
3693,1
3699,1
3715,2
3720,1
3722,1
3747,1
3778,0
3783,1
3791,1
3806,1
3811,3
3819,1
3824,1
3826,1
3838,1
3870,1
3891,1
3907,1
3928,1
3973,1
3976,1
3991,1
4002,1
4003,0
4014,0
4021,1
4051,1
4066,1
4068,1
4069,1
4087,1
4089,1
4111,1
4154,1
4195,1
4209,1
4236,1
4244,1
4249,1
4256,2
4272,3
4273,0
4274,1
4283,1
4302,1
4336,-1
4399,1
4414,1
4423,1
4425,3
4426,3
4429,1
4438,1
4487,1
4492,1
4506,3
4546,1
4561,0
4574,1
4618,1
4622,1
4639,1
4654,0
4676,-1
4677,1
4684,0
4691,1
4706,1
4715,1
4740,1
4828,0
4838,5
4852,1
4877,1
4922,2
4925,1
4949,1
4956,1
4959,1
5029,1
5042,1
5084,1
5085,1
5097,1
5120,1
5213,1
5230,1
5273,1
5275,1
5293,0
5294,0
5304,1
5309,1
5310,1
5324,1
5325,1
5334,0
5360,1
5365,1
5369,1
5395,1
5402,1
5408,1
5430,1
5451,1
5472,1
5486,1
5504,1
5566,0
5582,3
5613,1
5614,1
5615,1
5631,0
5662,1
5673,3
5714,1
5720,1
5735,1
5738,1
5739,1
5754,1
5809,1
5873,1
5889,0
5892,1
5895,0
5944,1
5959,1
5963,2
5967,0
5986,1
6006,0
6015,1
6041,3
6050,1
6053,0
6074,1
6089,0
6093,1
6111,1
6156,1
6157,1
6217,1
6251,1
6270,1
6304,1
6313,-1
6323,1
6330,1
6331,1
6333,1
6356,3
6378,0
6386,1
6388,0
6421,1
6437,0
6456,1
6459,1
6482,1
6501,1
6508,1
6521,0
6527,1
6530,1
6547,1
6566,1
6589,1
6648,1
6653,1
6669,1
6710,1
6715,1
6729,0
6755,1
6761,1
6798,1
6815,0
6819,0
6826,1
6898,1
6907,3
6921,1
6960,0
7005,0
7006,1
7009,0
7032,-1
7043,1
7095,0
7116,1
7216,1
7227,0
7228,1
7240,1
7304,1
7311,1
7316,0
7331,1
7342,1
7360,1
7365,0
7373,1
7374,1
7376,1
7389,0
7400,1
7401,1
7404,1
7412,1
7417,0
7424,0
7460,1
7474,1
7508,1
7515,1
7522,0
7525,1
7533,1
7562,1
7575,1
7585,1
7609,0
7624,1
7667,0
7673,0
7675,1
7700,1
7728,1
7744,1
7756,1
7762,1
7792,1
7813,1
7864,1
7867,1
7887,0
7898,1
7955,3
7957,1
8027,1
8043,0
8054,1
8095,1
8096,1
8128,1
8138,1
8140,1
8150,1
8172,1
8173,1
8190,1
8192,0
8230,1
8251,1
8260,1
8269,1
8281,1
8350,3
8390,0
8392,1
8414,1
8425,1
8497,1
8538,1
8565,1
8570,1
8571,2
8658,0
8711,1
8736,1
8743,0
8764,1
8780,1
8795,1
8801,1
8815,0
8827,0
8841,0
8843,1
8860,1
8875,0
8883,1
8905,4
8912,1
8920,1
8939,1
8943,1
8959,1
8967,1
8968,0
8972,1
8973,1
8979,3
8996,0
9011,1
9024,1
9032,1
9043,1
9058,1
9061,3
9090,1
9113,3
9116,1
9126,1
9184,1
9196,0
9197,1
9240,1
9241,1
9247,1
9273,1
9294,1
9304,1
9309,1
9316,1
9332,1
9397,1
9436,0
9437,1
9469,1
9501,1
9512,1
9541,1
9542,1
9546,1
9583,1
9618,1
9657,1
9693,1
9698,1
