feature,adjusted rand score,normalized mutual information,homogeneity,completeness
shots,-0.0759379491441088,0.047911600504298754,0.08467026306882967,0.03340791988060825
aggression,0.3647332718350792,0.2123317018683151,0.2637004958821513,0.17771321061681453
suicide,0.039014663017640776,0.03511722757228504,0.2957485648277612,0.018666867038772735
injuries,0.35224093001009504,0.23491355010630302,0.27113898404039555,0.2072270490282721
death,0.8379841276703693,0.772892409839019,0.9851454768367506,0.6358880805016383
drugs,-0.007725435364573221,0.0037245296248740382,0.016118554510069265,0.0021055279829530526
illegal_holding,-0.03898322509259388,0.008983702226022225,0.020714757780458625,0.005735569445062254
unharmed,-0.029378024590417176,0.009843683412421768,0.011331832238721612,0.008701024476939307
arrested,0.00034620212515531535,0.026034782776543076,0.035774321931134674,0.020463583581734487
males,0.25481366026194435,0.3754744899235147,0.9676505972352272,0.2329285127392481
females,0.2331989843969481,0.20237444412407657,0.3080434573145666,0.15068466117057056
