,cluster
0,19
1,21
2,67
3,117
4,121
5,124
6,142
7,143
8,152
9,178
10,187
11,224
12,237
13,240
14,245
15,264
16,274
17,286
18,291
19,298
20,368
21,386
22,397
23,406
24,413
25,436
26,452
27,458
28,460
29,465
30,530
31,535
32,537
33,565
34,629
35,681
36,699
37,711
38,717
39,720
40,769
41,770
42,774
43,780
44,796
45,804
46,872
47,887
48,890
49,1005
50,1009
51,1016
52,1018
53,1027
54,1037
55,1076
56,1111
57,1115
58,1137
59,1149
60,1166
61,1190
62,1217
63,1228
64,1245
65,1284
66,1295
67,1306
68,1326
69,1340
70,1386
71,1395
72,1396
73,1431
74,1432
75,1439
76,1441
77,1482
78,1487
79,1517
80,1522
81,1526
82,1529
83,1531
84,1580
85,1581
86,1586
87,1596
88,1597
89,1600
90,1618
91,1642
92,1644
93,1654
94,1660
95,1663
96,1687
97,1699
98,1703
99,1710
100,1719
101,1722
102,1734
103,1744
104,1745
105,1747
106,1768
107,1798
108,1804
109,1809
110,1825
111,1852
112,1857
113,1887
114,1894
115,1906
116,1920
117,1934
118,1956
119,1957
120,1976
121,2003
122,2011
123,2020
124,2035
125,2039
126,2041
127,2052
128,2076
129,2101
130,2108
131,2128
132,2135
133,2143
134,2154
135,2197
136,2232
137,2237
138,2244
139,2257
140,2315
141,2316
142,2326
143,2334
144,2354
145,2358
146,2381
147,2396
148,2441
149,2443
150,2463
151,2495
152,2511
153,2532
154,2567
155,2579
156,2592
157,2607
158,2649
159,2656
160,2664
161,2688
162,2690
163,2691
164,2731
165,2732
166,2738
167,2744
168,2745
169,2753
170,2765
171,2788
172,2808
173,2855
174,2857
175,2932
176,2964
177,2980
178,2985
179,2996
180,3005
181,3026
182,3045
183,3058
184,3075
185,3076
186,3120
187,3155
188,3165
189,3193
190,3201
191,3226
192,3228
193,3241
194,3243
195,3259
196,3293
197,3318
198,3341
199,3351
200,3361
201,3381
202,3407
203,3410
204,3468
205,3496
206,3533
207,3575
208,3605
209,3622
210,3639
211,3688
212,3693
213,3699
214,3715
215,3720
216,3722
217,3747
218,3778
219,3783
220,3791
221,3806
222,3811
223,3819
224,3824
225,3826
226,3838
227,3870
228,3891
229,3907
230,3928
231,3973
232,3976
233,3991
234,4002
235,4003
236,4014
237,4021
238,4051
239,4066
240,4068
241,4069
242,4087
243,4089
244,4111
245,4154
246,4195
247,4209
248,4236
249,4244
250,4249
251,4256
252,4272
253,4273
254,4274
255,4283
256,4302
257,4336
258,4399
259,4414
260,4423
261,4425
262,4426
263,4429
264,4438
265,4487
266,4492
267,4506
268,4546
269,4561
270,4574
271,4618
272,4622
273,4639
274,4654
275,4676
276,4677
277,4684
278,4691
279,4706
280,4715
281,4740
282,4828
283,4838
284,4852
285,4877
286,4922
287,4925
288,4949
289,4956
290,4959
291,5029
292,5042
293,5084
294,5085
295,5097
296,5120
297,5213
298,5230
299,5273
300,5275
301,5293
302,5294
303,5304
304,5309
305,5310
306,5324
307,5325
308,5334
309,5360
310,5365
311,5369
312,5395
313,5402
314,5408
315,5430
316,5451
317,5472
318,5486
319,5504
320,5566
321,5582
322,5613
323,5614
324,5615
325,5631
326,5662
327,5673
328,5714
329,5720
330,5735
331,5738
332,5739
333,5754
334,5809
335,5873
336,5889
337,5892
338,5895
339,5944
340,5959
341,5963
342,5967
343,5986
344,6006
345,6015
346,6041
347,6050
348,6053
349,6074
350,6089
351,6093
352,6111
353,6156
354,6157
355,6217
356,6251
357,6270
358,6304
359,6313
360,6323
361,6330
362,6331
363,6333
364,6356
365,6378
366,6386
367,6388
368,6421
369,6437
370,6456
371,6459
372,6482
373,6501
374,6508
375,6521
376,6527
377,6530
378,6547
379,6566
380,6589
381,6648
382,6653
383,6669
384,6710
385,6715
386,6729
387,6755
388,6761
389,6798
390,6815
391,6819
392,6826
393,6898
394,6907
395,6921
396,6960
397,7005
398,7006
399,7009
400,7032
401,7043
402,7095
403,7116
404,7216
405,7227
406,7228
407,7240
408,7304
409,7311
410,7316
411,7331
412,7342
413,7360
414,7365
415,7373
416,7374
417,7376
418,7389
419,7400
420,7401
421,7404
422,7412
423,7417
424,7424
425,7460
426,7474
427,7508
428,7515
429,7522
430,7525
431,7533
432,7562
433,7575
434,7585
435,7609
436,7624
437,7667
438,7673
439,7675
440,7700
441,7728
442,7744
443,7756
444,7762
445,7792
446,7813
447,7864
448,7867
449,7887
450,7898
451,7955
452,7957
453,8027
454,8043
455,8054
456,8095
457,8096
458,8128
459,8138
460,8140
461,8150
462,8172
463,8173
464,8190
465,8192
466,8230
467,8251
468,8260
469,8269
470,8281
471,8350
472,8390
473,8392
474,8414
475,8425
476,8497
477,8538
478,8565
479,8570
480,8571
481,8658
482,8711
483,8736
484,8743
485,8764
486,8780
487,8795
488,8801
489,8815
490,8827
491,8841
492,8843
493,8860
494,8875
495,8883
496,8905
497,8912
498,8920
499,8939
500,8943
501,8959
502,8967
503,8968
504,8972
505,8973
506,8979
507,8996
508,9011
509,9024
510,9032
511,9043
512,9058
513,9061
514,9090
515,9113
516,9116
517,9126
518,9184
519,9196
520,9197
521,9240
522,9241
523,9247
524,9273
525,9294
526,9304
527,9309
528,9316
529,9332
530,9397
531,9436
532,9437
533,9469
534,9501
535,9512
536,9541
537,9542
538,9546
539,9583
540,9618
541,9657
542,9693
543,9698
544,9702
545,9703
546,9706
547,9723
548,9726
549,9772
550,9802
551,9814
552,9817
553,9856
554,9859
555,9868
556,9872
557,9904
558,9909
559,9922
560,9938
561,9939
562,9948
563,9982
564,10001
565,10027
566,10055
567,10059
568,10069
569,10072
570,10079
571,10082
572,10100
573,10103
574,10104
575,10109
576,10118
577,10121
578,10151
579,10179
580,10241
581,10266
582,10304
583,10314
584,10321
585,10345
586,10365
587,10397
588,10405
589,10443
590,10448
591,10462
592,10492
593,10496
594,10517
595,10524
596,10536
597,10543
598,10582
599,10584
600,10612
601,10704
602,10720
603,10737
604,10745
605,10794
606,10802
607,10811
608,10834
609,10846
610,10861
611,10865
612,10871
613,10877
614,10890
615,10894
616,10896
617,10912
618,10930
619,10944
620,10981
621,10996
622,11046
623,11059
624,11063
625,11099
626,11102
627,11130
628,11151
629,11165
630,11174
631,11183
632,11190
633,11236
634,11242
635,11247
636,11254
637,11266
638,11267
639,11278
640,11310
641,11333
642,11346
643,11355
644,11358
645,11362
646,11368
647,11375
648,11387
649,11423
650,11451
651,11472
652,11493
653,11498
654,11501
655,11507
656,11533
657,11552
658,11557
659,11569
660,11597
661,11599
662,11640
663,11664
664,11665
665,11669
666,11703
667,11706
668,11718
669,11726
670,11734
671,11770
672,11776
673,11806
674,11840
675,11842
676,11971
677,11975
678,11980
679,12010
680,12034
681,12060
682,12075
683,12097
684,12098
685,12118
686,12119
687,12126
688,12137
689,12192
690,12279
691,12303
692,12309
693,12379
694,12394
695,12403
696,12405
697,12454
698,12497
699,12507
700,12515
701,12553
702,12566
703,12581
704,12598
705,12602
706,12605
707,12639
708,12663
709,12678
710,12687
711,12688
712,12749
713,12771
714,12801
715,12809
716,12828
717,12850
718,12888
719,12900
720,12912
721,12921
722,12933
723,12963
724,13008
725,13010
726,13013
727,13016
728,13018
729,13020
730,13042
731,13047
732,13055
733,13088
734,13101
735,13128
736,13199
737,13201
738,13226
739,13230
740,13246
741,13261
742,13262
743,13350
744,13357
745,13380
746,13388
747,13397
748,13410
749,13420
750,13455
751,13456
752,13467
753,13491
754,13494
755,13508
756,13514
757,13523
758,13530
759,13567
760,13572
761,13591
762,13612
763,13655
764,13696
765,13703
766,13729
767,13730
768,13797
769,13825
770,13853
771,13855
772,13864
773,13869
774,13875
775,13887
776,13898
777,13908
778,13940
779,13947
780,13952
781,13977
782,13984
783,13991
784,14002
785,14032
786,14083
787,14110
788,14114
789,14115
790,14175
791,14179
792,14185
793,14299
794,14347
795,14376
796,14391
797,14472
798,14523
799,14537
800,14592
801,14647
802,14677
803,14681
804,14686
805,14717
806,14721
807,14777
808,14807
809,14814
810,14818
811,14824
812,14827
813,14833
814,14871
815,14890
816,14893
817,14916
818,14926
819,14929
820,14937
821,14938
822,14962
823,14970
824,14977
825,14999
826,15008
827,15012
828,15015
829,15033
830,15054
831,15070
832,15075
833,15078
834,15080
835,15081
836,15085
837,15126
838,15127
839,15164
840,15184
841,15206
842,15233
843,15235
844,15257
845,15269
846,15292
847,15327
848,15337
849,15362
850,15373
851,15380
852,15453
853,15458
854,15499
855,15501
856,15511
857,15512
858,15523
859,15524
860,15532
861,15543
862,15593
863,15597
864,15600
865,15609
866,15614
867,15626
868,15664
869,15692
870,15738
871,15767
872,15787
873,15790
