,cluster
0,0
1,8
2,0
3,4
4,8
5,0
6,1
7,2
8,8
9,2
10,6
11,7
12,3
13,4
14,0
15,8
16,3
17,5
18,5
19,2
20,6
21,4
22,1
23,2
24,2
25,6
26,0
27,0
28,0
29,2
30,5
31,6
32,6
33,0
34,3
35,1
36,3
37,0
38,0
39,3
40,0
41,2
42,2
43,2
44,8
45,0
46,2
47,6
48,6
49,0
50,8
51,0
52,5
53,0
54,8
55,2
56,1
57,6
58,6
59,3
60,2
61,6
62,4
63,2
64,0
65,0
66,0
67,2
68,0
69,0
70,8
71,5
72,8
73,0
74,2
75,0
76,8
77,2
78,8
79,2
80,5
81,8
82,4
83,2
84,7
85,0
86,4
87,6
88,2
89,2
90,5
91,2
92,6
93,6
94,1
95,2
96,3
97,8
98,2
99,8
100,2
101,6
102,0
103,2
104,5
105,2
106,1
107,2
108,5
109,1
110,5
111,2
112,6
113,6
114,2
115,8
116,5
117,7
118,8
119,3
120,8
121,2
122,3
123,6
124,5
125,2
126,3
127,0
128,5
129,8
130,6
131,1
132,0
133,2
134,3
135,5
136,2
137,0
138,4
139,3
140,7
141,2
142,2
143,0
144,8
145,2
146,0
147,2
148,0
149,1
150,8
151,0
152,2
153,1
154,5
155,8
156,2
157,3
158,0
159,7
160,2
161,5
162,2
163,0
164,8
165,5
166,5
167,2
168,0
169,1
170,6
171,6
172,2
173,2
174,6
175,2
176,7
177,2
178,0
179,0
180,2
181,3
182,2
183,2
184,4
185,2
186,7
187,0
188,8
189,0
190,8
191,2
192,0
193,2
194,3
195,2
196,3
197,6
198,0
199,6
200,8
201,0
202,0
203,6
204,2
205,2
206,2
207,2
208,2
209,7
210,8
211,4
212,8
213,5
214,2
215,0
216,6
217,5
218,0
219,3
220,8
221,0
222,6
223,6
224,3
225,8
226,6
227,0
228,0
229,0
230,6
231,0
232,0
233,7
234,5
235,7
236,2
237,2
238,0
239,5
240,6
241,0
242,5
243,2
244,0
245,2
246,6
247,2
248,7
249,0
250,0
251,6
252,8
253,2
254,8
255,6
256,2
257,0
258,3
259,8
260,0
261,8
262,0
263,8
264,4
265,3
266,5
267,0
268,2
269,4
270,2
271,1
272,2
273,2
274,8
275,2
276,6
277,6
278,2
279,5
280,5
281,3
282,7
283,2
284,0
285,2
286,8
287,4
288,3
289,8
290,6
291,6
292,6
293,3
294,8
295,8
296,0
297,6
298,3
299,8
300,1
301,6
302,2
303,2
304,7
305,2
306,0
307,3
308,1
309,3
310,6
311,1
312,4
313,8
314,7
315,0
316,1
317,4
318,2
319,8
320,6
321,8
322,0
323,1
324,1
325,8
326,4
327,2
328,2
329,1
330,5
331,3
332,4
333,7
334,3
335,4
336,3
337,6
338,6
339,3
340,2
341,8
342,8
343,6
344,5
345,2
346,0
347,2
348,8
349,2
350,2
351,0
352,0
353,1
354,1
355,1
356,2
357,8
358,7
359,5
360,6
361,5
362,8
363,8
364,1
365,4
366,3
367,2
368,3
369,2
370,0
371,0
372,0
373,5
374,3
375,6
376,6
377,7
378,0
379,8
380,0
381,6
382,8
383,0
384,7
385,5
386,6
387,0
388,6
389,8
390,6
391,1
392,6
393,2
394,7
395,0
396,2
397,7
398,5
399,5
400,2
401,3
402,0
403,0
404,2
405,6
406,0
407,3
408,4
409,3
410,5
411,0
412,6
413,6
414,6
415,1
416,8
417,2
418,5
419,6
420,2
421,8
422,0
423,0
424,4
425,2
426,6
427,4
428,1
429,2
430,6
431,7
432,0
433,0
434,2
435,0
436,0
437,7
438,6
439,3
440,0
441,1
442,2
443,8
444,2
445,2
446,2
447,0
448,0
449,0
450,2
451,0
452,1
453,2
454,6
455,5
456,2
457,0
458,2
459,8
460,1
461,6
462,6
463,3
464,5
465,7
466,0
467,2
468,2
469,1
470,8
471,2
472,8
473,6
474,2
475,0
476,8
477,6
478,6
479,2
480,8
481,6
482,1
483,0
484,0
485,6
486,0
487,6
488,0
489,8
490,8
491,0
492,2
493,3
494,0
495,6
496,0
497,5
498,2
499,6
500,8
501,8
502,8
503,2
504,3
505,4
506,1
507,2
508,0
509,2
510,1
511,1
512,0
513,2
514,0
515,2
516,0
517,8
518,2
519,0
520,0
521,6
522,2
523,8
524,8
525,0
526,2
527,1
528,0
529,3
530,2
531,5
532,0
533,7
534,5
535,3
536,0
537,3
538,0
539,4
540,6
541,3
542,2
543,1
544,8
545,0
546,8
547,0
548,4
549,8
550,5
551,2
552,8
553,4
554,0
555,6
556,3
557,7
558,5
559,6
560,4
561,3
562,0
563,2
564,3
565,2
566,5
567,5
568,6
569,8
570,3
571,6
572,7
573,8
574,0
575,0
576,2
577,1
578,5
579,6
580,2
581,3
582,8
583,8
584,1
585,3
586,7
587,6
588,4
589,3
590,2
591,3
592,8
593,6
594,6
595,8
596,2
597,8
598,2
599,2
600,6
601,5
602,2
603,0
604,0
605,1
606,2
607,2
608,7
609,2
