feature,adjusted rand score,normalized mutual information,homogeneity,completeness
shots,0.0693586062231835,0.19784455739338302,0.4727052348043813,0.12510222366915996
aggression,0.13502833973664108,0.21481874913570162,0.42777254183823166,0.1434209230968365
suicide,0.0021708533771625516,0.03860379753527932,0.3335465337500919,0.02048748240077635
injuries,0.2309959547763406,0.365045906106305,0.7313205370301142,0.24322771809570756
death,0.2009905731404512,0.3584301655797414,0.7640634542457486,0.23413195948293208
drugs,-0.005875994512622799,0.05079008408905574,0.21097553358051901,0.028870128003755786
illegal_holding,0.0022191284951193794,0.03904444868101605,0.1380461205545157,0.022737755177538357
unharmed,0.16831718044371619,0.3351093076670287,0.7714237404212277,0.21404579346099542
arrested,0.2508246395990484,0.4021273848694822,0.8042473582634292,0.2680857467537217
males,-0.003570872902186325,0.006159348940192562,0.03951467328459245,0.003339984478340039
females,0.019099191286539276,0.012784409304196666,0.03285930030296675,0.007936018935815062
