,cluster
19,0
21,1
67,2
117,0
121,0
124,3
142,2
143,4
152,5
178,0
187,5
224,0
237,3
240,0
245,0
264,3
274,2
286,2
291,3
298,2
368,4
386,3
397,2
406,0
413,3
436,0
452,2
458,2
460,2
465,0
530,3
535,0
537,0
565,3
629,0
681,2
699,2
711,0
717,2
720,2
769,0
770,0
774,2
780,2
796,0
804,2
872,5
887,1
890,3
1005,3
1009,3
1016,0
1018,2
1027,0
1037,5
1076,0
1111,0
1115,0
1137,0
1149,4
1166,2
1190,2
1217,0
1228,2
1245,2
1284,0
1295,2
1306,0
1326,2
1340,2
1386,0
1395,2
1396,0
1431,2
1432,2
1439,4
1441,3
1482,0
1487,6
1517,2
1522,0
1526,4
1529,0
1531,2
1580,1
1581,0
1586,2
1596,5
1597,0
1600,2
1618,0
1642,0
1644,3
1654,6
1660,0
1663,5
1687,0
1699,3
1703,0
1710,2
1719,2
1722,2
1734,2
1744,1
1745,3
1747,0
1768,2
1798,2
1804,0
1809,2
1825,2
1852,5
1857,5
1887,4
1894,2
1906,0
1920,2
1934,6
1956,6
1957,0
1976,2
2003,0
2011,3
2020,2
2035,4
2039,1
2041,3
2052,2
2076,5
2101,0
2108,5
2128,0
2135,0
2143,0
2154,0
2197,2
2232,2
2237,2
2244,5
2257,2
2315,2
2316,0
2326,4
2334,0
2354,5
2358,3
2381,5
2396,0
2441,6
2443,0
2463,5
2495,1
2511,0
2532,2
2567,3
2579,2
2592,2
2607,4
2649,0
2656,1
2664,3
2688,3
2690,4
2691,0
2731,3
2732,6
2738,0
2744,0
2745,2
2753,3
2765,0
2788,5
2808,5
2855,2
2857,1
2932,3
2964,0
2980,0
2985,3
2996,2
3005,3
3026,2
3045,4
3058,0
3075,0
3076,2
3120,0
3155,0
3165,2
3193,0
3201,0
3226,2
3228,0
3241,2
3243,5
3259,0
3293,2
3318,3
3341,0
3351,3
3361,2
3381,1
3407,2
3410,2
3468,3
3496,4
3533,3
3575,2
3605,2
3622,0
3639,5
3688,4
3693,0
3699,1
3715,5
3720,2
3722,2
3747,2
3778,5
3783,2
3791,0
3806,0
3811,6
3819,0
3824,2
3826,4
3838,2
3870,2
3891,0
3907,2
3928,2
3973,2
3976,0
3991,0
4002,2
4003,5
4014,0
4021,4
4051,3
4066,3
4068,2
4069,2
4087,1
4089,3
4111,3
4154,2
4195,2
4209,3
4236,0
4244,2
4249,2
4256,5
4272,6
4273,4
4274,0
4283,0
4302,2
4336,3
4399,3
4414,2
4423,3
4425,6
4426,1
4429,0
4438,0
4487,1
4492,2
4506,6
4546,3
4561,0
4574,0
4618,0
4622,1
4639,0
4654,0
4676,1
4677,3
4684,0
4691,2
4706,2
4715,0
4740,0
4828,3
4838,5
4852,3
4877,2
4922,4
4925,2
4949,3
4956,3
4959,2
5029,2
5042,2
5084,3
5085,2
5097,0
5120,2
5213,0
5230,2
5273,2
5275,3
5293,0
5294,5
5304,1
5309,1
5310,0
5324,3
5325,0
5334,5
5360,2
5365,4
5369,3
5395,0
5402,2
5408,2
5430,2
5451,0
5472,0
5486,0
5504,2
5566,0
5582,1
5613,0
5614,0
5615,0
5631,5
5662,0
5673,6
5714,2
5720,0
5735,1
5738,3
5739,0
5754,0
5809,2
5873,1
5889,3
5892,0
5895,5
5944,1
5959,2
5963,0
5967,5
5986,1
6006,5
6015,0
6041,6
6050,3
6053,0
6074,2
6089,3
6093,0
6111,0
6156,2
6157,2
6217,2
6251,0
6270,0
6304,0
6313,5
6323,3
6330,2
6331,2
6333,2
6356,0
6378,5
6386,3
6388,5
6421,0
6437,5
6456,3
6459,2
6482,2
6501,2
6508,2
6521,5
6527,0
6530,2
6547,2
6566,2
6589,0
6648,3
6653,2
6669,3
6710,3
6715,0
6729,4
6755,2
6761,0
6798,1
6815,5
6819,3
6826,4
6898,2
6907,1
6921,0
6960,5
7005,5
7006,1
7009,3
7032,0
7043,0
7095,0
7116,3
7216,2
7227,3
7228,2
7240,3
7304,2
7311,3
7316,5
7331,0
7342,0
7360,2
7365,5
7373,2
7374,3
7376,1
7389,0
7400,3
7401,2
7404,1
7412,1
7417,0
7424,0
7460,3
7474,3
7508,2
7515,2
7522,3
7525,2
7533,2
7562,2
7575,3
7585,0
7609,0
7624,3
7667,5
7673,0
7675,3
7700,2
7728,1
7744,0
7756,2
7762,3
7792,4
7813,3
7864,0
7867,0
7887,0
7898,2
7955,6
7957,1
8027,3
8043,5
8054,3
8095,2
8096,0
8128,2
8138,0
8140,2
8150,0
8172,2
8173,2
8190,0
8192,4
8230,2
8251,2
8260,2
8269,2
8281,0
8350,0
8390,0
8392,2
8414,0
8425,3
8497,0
8538,2
8565,0
8570,2
8571,5
8658,5
8711,2
8736,2
8743,5
8764,0
8780,2
8795,2
8801,2
8815,5
8827,5
8841,0
8843,0
8860,0
8875,0
8883,2
8905,3
8912,2
8920,3
8939,2
8943,3
8959,4
8967,2
8968,4
8972,2
8973,2
8979,6
8996,5
9011,1
9024,0
9032,2
9043,0
9058,0
9061,6
9090,0
9113,6
9116,2
9126,0
9184,2
9196,5
9197,2
9240,2
9241,2
9247,2
9273,2
9294,2
9304,0
9309,0
9316,3
9332,0
9397,2
9436,4
9437,2
9469,2
9501,2
9512,0
9541,2
9542,0
9546,0
9583,0
9618,2
9657,2
9693,2
9698,0
9702,0
