feature,adjusted rand score,normalized mutual information,homogeneity,completeness
shots,0.04525725868221192,0.10320636899076205,0.3261361182219324,0.06130289015152173
aggression,0.1411468960429027,0.19439595846709473,0.3999593762976501,0.12840224522880841
suicide,0.005568565502847432,0.017796859919989118,0.3048272051136293,0.009166001289318045
injuries,0.1978677309632559,0.2945420141364692,0.551775919119835,0.2008890197961623
death,0.11275846797783957,0.2189955525909254,0.4656001350522917,0.14316720509539554
drugs,0.006032196436511972,0.020276986906214756,0.17305475672036424,0.010769425242465205
illegal_holding,0.0013339627948231892,0.024684678907857457,0.10591146464990496,0.01397036945716912
unharmed,0.23529821969895606,0.3427333383599862,0.6400328133463457,0.23402648720051902
arrested,0.1829324510991514,0.3511277544733828,0.8198369879515932,0.22340488515362655
males,0.04245787177112502,0.120774150739023,0.5869742545285231,0.06731204243290807
females,0.0443049595184819,0.10551787760408492,0.27924594235718164,0.06504885204132466
