state,year,male_child,male_teen,male_adult,female_child,female_teen,female_adult
Alabama,2013,339,68,25304,250,20,24090
Alabama,2014,349,87,24960,259,6,24441
Alabama,2015,317,67,26161,243,41,24964
Alabama,2016,335,80,26384,275,52,25258
Alabama,2017,289,91,26967,241,32,25525
Alabama,2018,306,79,27654,178,41,25997
Alabama,2019,321,93,27634,241,24,25696
Alabama,2020,292,92,33299,191,6,30786
Alaska,2013,47,5,2099,32,6,1596
Alaska,2014,50,5,2232,38,2,1560
Alaska,2015,46,6,2334,48,5,1669
Alaska,2016,43,6,2453,32,4,1750
Alaska,2017,39,6,2383,37,5,1725
Alaska,2018,41,5,2400,33,4,1734
Alaska,2019,34,6,2493,28,3,1832
Alaska,2020,39,6,2870,26,5,2054
Arizona,2013,324,101,26127,262,18,23597
Arizona,2014,349,70,26829,294,28,23860
Arizona,2015,298,78,28467,274,19,25047
Arizona,2016,322,81,30079,260,40,25772
Arizona,2017,335,101,30532,251,46,26401
Arizona,2018,346,134,31606,237,40,26849
Arizona,2019,285,130,32160,210,43,27301
Arizona,2020,300,161,40952,218,64,33951
Arkansas,2013,187,49,15275,148,6,14668
Arkansas,2014,169,32,15400,142,6,14570
Arkansas,2015,200,36,16034,137,6,15094
Arkansas,2016,213,31,16147,150,6,15109
Arkansas,2017,187,59,16434,161,6,15657
Arkansas,2018,183,34,16524,159,6,15312
Arkansas,2019,157,47,16997,137,6,15444
Arkansas,2020,179,66,19527,122,6,18110
California,2013,1706,401,125033,1371,210,119632
California,2014,1567,399,124461,1267,208,118021
California,2015,1567,422,131085,1253,215,124651
California,2016,1553,437,133270,1251,226,125502
California,2017,1502,410,136590,1143,211,128328
California,2018,1436,381,138298,1123,215,127361
California,2019,1388,388,139920,1111,209,126815
California,2020,1272,505,170012,1001,249,146762
Colorado,2013,226,69,16799,169,16,16332
Colorado,2014,197,64,17753,157,18,16932
Colorado,2015,174,88,18381,175,19,17406
Colorado,2016,206,74,19304,157,15,17663
Colorado,2017,178,86,19349,147,44,18151
Colorado,2018,199,77,19900,161,29,18060
Colorado,2019,168,98,20298,160,36,18539
Colorado,2020,175,125,24661,151,48,21688
Connecticut,2013,111,6,14075,76,6,15247
Connecticut,2014,110,6,14229,84,5,15345
Connecticut,2015,107,5,14520,111,6,15693
Connecticut,2016,96,5,14847,97,6,15415
Connecticut,2017,94,15,15039,84,5,15994
Connecticut,2018,92,15,15206,75,6,15762
Connecticut,2019,92,16,15692,78,6,15766
Connecticut,2020,99,27,18780,63,6,18772
Delaware,2013,48,5,3874,35,5,3814
Delaware,2014,40,4,4077,46,2,3925
Delaware,2015,59,4,4256,51,3,4074
Delaware,2016,53,6,4493,45,4,4150
Delaware,2017,41,4,4662,42,3,4303
Delaware,2018,38,4,4837,37,3,4366
Delaware,2019,42,5,4835,37,3,4270
