"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	277	29884	926.9
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	289	29508	979.4
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	279	29595	942.7
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	295	29784	990.5
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	236	29605	797.2
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	238	29011	820.4
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	246	29080	845.9
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2020 "	"2020"	242	28699	843.2
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2013"	"2013"	15	30114	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2014"	"2014"	20	29451	67.9
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2015"	"2015"	19	29719	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2016"	"2016"	17	29985	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2017"	"2017"	27	29913	90.3
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2018"	"2018"	18	29521	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2019"	"2019"	23	29711	77.4
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2020 "	"2020"	14	29356	Unreliable
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2013"	"2013"	18	30561	Unreliable
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2014"	"2014"	Suppressed	29879	Suppressed
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2015"	"2015"	Suppressed	29385	Suppressed
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2016"	"2016"	14	30097	Unreliable
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2017"	"2017"	Suppressed	30234	Suppressed
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2018"	"2018"	20	30171	66.3
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2019"	"2019"	19	29954	Unreliable
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2020 "	"2020"	18	30169	Unreliable
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2013"	"2013"	12	30640	Unreliable
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2014"	"2014"	Suppressed	30513	Suppressed
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2015"	"2015"	10	29786	Unreliable
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2016"	"2016"	Suppressed	29287	Suppressed
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2017"	"2017"	17	30037	Unreliable
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2018"	"2018"	12	30399	Unreliable
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2019"	"2019"	15	30366	Unreliable
	"Alabama"	"01"	"3 years"	"3"	"Male"	"M"	"2020 "	"2020"	10	30186	Unreliable
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2013"	"2013"	Suppressed	30607	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2014"	"2014"	Suppressed	30764	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2015"	"2015"	Suppressed	30623	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2016"	"2016"	Suppressed	29829	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2017"	"2017"	Suppressed	29585	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2018"	"2018"	Suppressed	30162	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2019"	"2019"	11	30604	Unreliable
	"Alabama"	"01"	"4 years"	"4"	"Male"	"M"	"2020 "	"2020"	Suppressed	30693	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2013"	"2013"	Suppressed	31530	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2014"	"2014"	11	30709	Unreliable
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2015"	"2015"	Suppressed	30407	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2016"	"2016"	Suppressed	30579	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2017"	"2017"	Suppressed	29968	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2018"	"2018"	Suppressed	29676	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2019"	"2019"	Suppressed	30339	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Male"	"M"	"2020 "	"2020"	Suppressed	30694	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2013"	"2013"	10	31710	Unreliable
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2014"	"2014"	Suppressed	31585	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2015"	"2015"	Suppressed	30664	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2016"	"2016"	Suppressed	30434	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2017"	"2017"	Suppressed	30653	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2018"	"2018"	Suppressed	30122	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2019"	"2019"	Suppressed	29828	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Male"	"M"	"2020 "	"2020"	Suppressed	30434	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2013"	"2013"	Suppressed	31218	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2014"	"2014"	Suppressed	31826	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2015"	"2015"	Suppressed	31611	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2016"	"2016"	Suppressed	30550	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2017"	"2017"	Suppressed	30378	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2018"	"2018"	11	30781	Unreliable
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2019"	"2019"	Suppressed	30207	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Male"	"M"	"2020 "	"2020"	Suppressed	29924	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2013"	"2013"	Suppressed	31074	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2014"	"2014"	11	31407	Unreliable
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2015"	"2015"	Suppressed	31864	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2016"	"2016"	Suppressed	31486	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2017"	"2017"	Suppressed	30731	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2018"	"2018"	Suppressed	30584	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2019"	"2019"	Suppressed	30945	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Male"	"M"	"2020 "	"2020"	Suppressed	30390	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2013"	"2013"	Suppressed	31324	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2014"	"2014"	Suppressed	31022	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2015"	"2015"	Suppressed	31437	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2016"	"2016"	Suppressed	31809	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2017"	"2017"	Suppressed	31796	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2018"	"2018"	Suppressed	30904	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2019"	"2019"	Suppressed	30692	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Male"	"M"	"2020 "	"2020"	Suppressed	31088	Suppressed
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2013"	"2013"	Suppressed	30974	Suppressed
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2014"	"2014"	Suppressed	31293	Suppressed
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2015"	"2015"	Suppressed	31113	Suppressed
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2016"	"2016"	Suppressed	31372	Suppressed
	"Alabama"	"01"	"10 years"	"10"	"Male"	"M"	"2017"	"2017"	Suppressed	31894	Suppressed
