,DecisionTreeClassifier,ExtremeGradientBoostingClassifier,NeuralNetworkClassifier,RandomForestClassifier,SupportVectorMachineClassifier
Attempted Suicide,0.638216358640509,0.5451382493890115,-0.04970396053185612,0.6041921905466059,-0.049128694066272245
Mass shooting,0.7340654491817061,0.5710163311828242,-0.21290169817113203,0.6829126772243174,-0.03718027591241015
Fatal with highest confidence by DecisionTreeClassifier,-0.14378408906353612,0.18993403302997014,0.05086484288899238,0.2499065818724537,0.06252468528923913
Fatal with highest confidence by NeuralNetworkClassifier,0.6611910736479317,0.5607562142551331,-0.21969244766309914,0.6955827294376861,-0.019645247642262557
Fatal with highest confidence by RandomForestClassifier,0.7159224232744559,0.5902756508206316,-0.17526946280365271,0.6768196551025811,-0.1333463612417549
Fatal with highest confidence by NaiveBayesMixedClassifier,0.6796188640184114,0.3079515958773192,0.018901114101480265,0.6346992475277423,-0.10083872840392921
Fatal with highest confidence by SupportVectorMachineClassifier,0.04830392678877781,0.03259581486609629,-0.05907736696967788,0.01742084682752966,-0.07855089535425797
Fatal with highest confidence by TabNetClassifier,0.1916829990607659,0.15562099184672804,-0.06886261650821168,0.23893345682367395,-0.06670097839381246
Fatal with highest confidence by ExtremeGradientBoostingClassifier,0.6807305453508942,0.5991382771761155,-0.14915188491568554,0.6641248772671992,-0.15122201011503866
Non-Fatal with highest confidence by DecisionTreeClassifier,0.3803040321135286,0.41247692487384857,0.15770249872937847,0.48348080317316683,0.1502094643739789
Non-Fatal with highest confidence by NeuralNetworkClassifier,0.3046212878960326,0.43616190665596377,0.07204406097306662,0.43290107182885085,-0.08933571145583051
Non-Fatal with highest confidence by RandomForestClassifier,0.36876586645675685,0.3888992332029027,0.14479798259186327,0.49532259217528746,0.21007176958067833
Non-Fatal with highest confidence by NaiveBayesMixedClassifier,0.004983212443558284,0.15305352912693623,-0.07332364459362194,0.4387150541238996,0.07321195938669553
Non-Fatal with highest confidence by SupportVectorMachineClassifier,0.11379330045178225,0.13913373627959774,0.05122038345468415,0.139607235447489,0.09736391244743042
Non-Fatal with highest confidence by TabNetClassifier,0.262420922812362,0.23795889573569187,0.08867377310027746,0.44515534461005835,0.09735624433240878
Non-Fatal with highest confidence by ExtremeGradientBoostingClassifier,-0.39158817376937394,0.43106484959771657,-0.01604346587580695,0.5416747618565025,0.16805639962892074
