,DecisionTreeClassifier,ExtremeGradientBoostingClassifier,NeuralNetworkClassifier,RandomForestClassifier
Attempted Suicide,False,False,True,False
Mass shooting,True,False,True,False
Fatal with highest confidence by DecisionTreeClassifier,False,False,True,False
Fatal with highest confidence by NeuralNetworkClassifier,True,False,True,False
Fatal with highest confidence by RandomForestClassifier,True,False,True,False
Fatal with highest confidence by NaiveBayesMixedClassifier,False,False,True,False
Fatal with highest confidence by SupportVectorMachineClassifier,False,False,True,False
Fatal with highest confidence by TabNetClassifier,False,False,True,False
Fatal with highest confidence by ExtremeGradientBoostingClassifier,True,False,True,False
Non-Fatal with highest confidence by DecisionTreeClassifier,True,False,True,False
Non-Fatal with highest confidence by NeuralNetworkClassifier,True,False,True,False
Non-Fatal with highest confidence by RandomForestClassifier,True,False,True,False
Non-Fatal with highest confidence by NaiveBayesMixedClassifier,False,False,True,False
Non-Fatal with highest confidence by SupportVectorMachineClassifier,True,False,True,False
Non-Fatal with highest confidence by TabNetClassifier,False,False,True,False
Non-Fatal with highest confidence by ExtremeGradientBoostingClassifier,False,False,True,False
