"Notes"	"State"	"State Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	224	28555	784.5
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	227	28346	800.8
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	216	28422	760.0
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	242	28485	849.6
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	198	28297	699.7
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	167	27728	602.3
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	203	27821	729.7
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2020 "	"2020"	162	27547	588.1
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2013"	"2013"	16	28982	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2014"	"2014"	10	28577	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2015"	"2015"	17	28732	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2016"	"2016"	14	28899	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2017"	"2017"	12	28925	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2018"	"2018"	Suppressed	28443	Suppressed
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2019"	"2019"	16	28579	Unreliable
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2020 "	"2020"	19	27979	Unreliable
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2013"	"2013"	Suppressed	28767	Suppressed
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2014"	"2014"	13	29074	Unreliable
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2015"	"2015"	Suppressed	28539	Suppressed
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2016"	"2016"	Suppressed	28883	Suppressed
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2017"	"2017"	10	29421	Unreliable
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2018"	"2018"	Suppressed	29257	Suppressed
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2019"	"2019"	13	29119	Unreliable
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2020 "	"2020"	Suppressed	28847	Suppressed
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2013"	"2013"	Suppressed	29614	Suppressed
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2014"	"2014"	Suppressed	28936	Suppressed
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2015"	"2015"	Suppressed	29128	Suppressed
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2016"	"2016"	Suppressed	28491	Suppressed
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2017"	"2017"	13	29013	Unreliable
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2018"	"2018"	Suppressed	29473	Suppressed
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2019"	"2019"	Suppressed	29433	Suppressed
	"Alabama"	"01"	"3 years"	"3"	"Female"	"F"	"2020 "	"2020"	Suppressed	28909	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2013"	"2013"	Suppressed	29380	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2014"	"2014"	Suppressed	29657	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2015"	"2015"	Suppressed	29044	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2016"	"2016"	Suppressed	28825	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2017"	"2017"	Suppressed	28524	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2018"	"2018"	Suppressed	29038	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2019"	"2019"	Suppressed	29690	Suppressed
	"Alabama"	"01"	"4 years"	"4"	"Female"	"F"	"2020 "	"2020"	Suppressed	29535	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2013"	"2013"	Suppressed	30502	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2014"	"2014"	Suppressed	29510	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2015"	"2015"	Suppressed	29374	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2016"	"2016"	Suppressed	28834	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2017"	"2017"	Suppressed	29148	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2018"	"2018"	Suppressed	28545	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2019"	"2019"	Suppressed	29229	Suppressed
	"Alabama"	"01"	"5 years"	"5"	"Female"	"F"	"2020 "	"2020"	Suppressed	29749	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2013"	"2013"	Suppressed	30410	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2014"	"2014"	Suppressed	30531	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2015"	"2015"	Suppressed	29592	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2016"	"2016"	10	29295	Unreliable
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2017"	"2017"	Suppressed	28893	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2018"	"2018"	Suppressed	29137	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2019"	"2019"	Suppressed	28771	Suppressed
	"Alabama"	"01"	"6 years"	"6"	"Female"	"F"	"2020 "	"2020"	Suppressed	29455	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2013"	"2013"	Suppressed	30102	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2014"	"2014"	Suppressed	30439	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2015"	"2015"	Suppressed	30707	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2016"	"2016"	Suppressed	29577	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2017"	"2017"	Suppressed	29375	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2018"	"2018"	Suppressed	29030	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2019"	"2019"	Suppressed	29330	Suppressed
	"Alabama"	"01"	"7 years"	"7"	"Female"	"F"	"2020 "	"2020"	Suppressed	28949	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2013"	"2013"	Suppressed	29756	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2014"	"2014"	Suppressed	30121	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2015"	"2015"	Suppressed	30506	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2016"	"2016"	Suppressed	30618	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2017"	"2017"	Suppressed	29555	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2018"	"2018"	Suppressed	29421	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2019"	"2019"	Suppressed	29078	Suppressed
	"Alabama"	"01"	"8 years"	"8"	"Female"	"F"	"2020 "	"2020"	Suppressed	29507	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2013"	"2013"	Suppressed	29916	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2014"	"2014"	Suppressed	29900	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2015"	"2015"	Suppressed	30126	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2016"	"2016"	Suppressed	30435	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2017"	"2017"	Suppressed	30788	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2018"	"2018"	Suppressed	29700	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2019"	"2019"	Suppressed	29549	Suppressed
	"Alabama"	"01"	"9 years"	"9"	"Female"	"F"	"2020 "	"2020"	Suppressed	29214	Suppressed
	"Alabama"	"01"	"10 years"	"10"	"Female"	"F"	"2013"	"2013"	Suppressed	29797	Suppressed
	"Alabama"	"01"	"10 years"	"10"	"Female"	"F"	"2014"	"2014"	Suppressed	30121	Suppressed
	"Alabama"	"01"	"10 years"	"10"	"Female"	"F"	"2015"	"2015"	Suppressed	30026	Suppressed
