State,2013 Grade
California,A-
Connecticut,A-
New Jersey,A-
Maryland,A-
New York,A-
Massachusetts,B+
Hawaii,B+
Illinois,B
Rhode Island,B-
Delaware,B-
Pennsylvania,C
Minnesota,C
Washington,C
Michigan,C
Colorado,C
Iowa,C-
Wisconsin,C-
Oregon,D+
Ohio,D
Virginia,D
Nebraska,D
New Hampshire,D-
Indiana,D-
Alabama,D-
Florida,F
Maine,F
West Virginia,F
Georgia,F
North Dakota,F
Tennessee,F
North Carolina,F
Nevada,F
Texas,F
Arkansas,F
Oklahoma,F
South Carolina,F
Idaho,F
New Mexico,F
Missouri,F
Louisiana,F
Utah,F
Montana,F
Kentucky,F
Kansas,F
Mississippi,F
Vermont,F
South Dakota,F
Wyoming,F
Alaska,F
Arizona,F
