state;year;number_of_laws
ALABAMA;2013;10
ALABAMA;2014;10
ALABAMA;2015;10
ALABAMA;2016;10
ALABAMA;2017;10
ALABAMA;2018;10
ALABAMA;2019;10
ALABAMA;2020;10
ALASKA;2013;3
ALASKA;2014;3
ALASKA;2015;3
ALASKA;2016;3
ALASKA;2017;3
ALASKA;2018;3
ALASKA;2019;3
ALASKA;2020;3
ARIZONA;2013;8
ARIZONA;2014;8
ARIZONA;2015;8
ARIZONA;2016;8
ARIZONA;2017;8
ARIZONA;2018;8
ARIZONA;2019;8
ARIZONA;2020;8
ARKANSAS;2013;11
ARKANSAS;2014;11
ARKANSAS;2015;11
ARKANSAS;2016;11
ARKANSAS;2017;11
ARKANSAS;2018;11
ARKANSAS;2019;11
ARKANSAS;2020;11
CALIFORNIA;2013;99
CALIFORNIA;2014;100
CALIFORNIA;2015;102
CALIFORNIA;2016;104
CALIFORNIA;2017;106
CALIFORNIA;2018;109
CALIFORNIA;2019;111
CALIFORNIA;2020;111
COLORADO;2013;30
COLORADO;2014;30
COLORADO;2015;30
COLORADO;2016;30
COLORADO;2017;30
COLORADO;2018;30
COLORADO;2019;32
COLORADO;2020;32
CONNECTICUT;2013;82
CONNECTICUT;2014;83
CONNECTICUT;2015;83
CONNECTICUT;2016;88
CONNECTICUT;2017;88
CONNECTICUT;2018;88
CONNECTICUT;2019;89
CONNECTICUT;2020;89
DELAWARE;2013;36
DELAWARE;2014;37
DELAWARE;2015;37
DELAWARE;2016;38
DELAWARE;2017;39
DELAWARE;2018;41
DELAWARE;2019;41
DELAWARE;2020;41
DISTRICT OF COLUMBIA;2013;100
DISTRICT OF COLUMBIA;2014;100
DISTRICT OF COLUMBIA;2015;100
DISTRICT OF COLUMBIA;2016;100
DISTRICT OF COLUMBIA;2017;100
DISTRICT OF COLUMBIA;2018;100
DISTRICT OF COLUMBIA;2019;100
DISTRICT OF COLUMBIA;2020;100
FLORIDA;2013;21
FLORIDA;2014;21
FLORIDA;2015;21
FLORIDA;2016;21
