min_age_participants,max_age_participants,avg_age_participants,n_participants_child,n_participants_teen,n_participants_adult,n_males,n_females,n_killed,n_injured,n_arrested,n_unharmed,n_participants,participant_age1,participant_age_group1,participant1_child,participant1_teen,participant1_adult,participant_gender1,participant1_male,participant1_female,inconsistent,NaN_values
19,19,19,0,0,1,1,0,0,1,0,0,1,19,Adult 18+,0,0,1,Male,1,1,False,False
62,62,62,0,0,1,1,0,1,0,0,0,1,62,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,,,0,1,0,1,2,,Adult 18+,0,0,1,,1,1,True,True
,,,,,,1,0,0,1,0,0,2,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,1,0,0,1,0,1,2,,Adult 18+,0,0,1,Male,1,1,True,True
65,65,65,0,0,1,1,0,0,1,0,0,1,65,Adult 18+,0,0,1,Male,1,1,False,False
20,30,26,0,0,5,5,0,2,1,2,0,5,30,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,0,1,0,1,,,,,1,Male,1,1,True,True
65,65,65,0,0,1,1,0,1,0,0,0,1,65,Adult 18+,0,0,1,Male,1,1,False,False
20,20,20,0,0,1,0,1,0,1,0,0,1,20,Adult 18+,0,0,1,Female,1,1,False,False
26,31,29,0,0,3,3,0,0,1,2,0,3,31,Adult 18+,0,0,1,Male,1,1,False,False
29,29,29,0,0,1,1,0,0,0,1,0,1,29,Adult 18+,0,0,1,Male,1,1,False,False
19,19,19,0,0,1,1,0,1,0,0,0,1,19,Adult 18+,0,0,1,Male,1,1,False,False
31,44,38,0,0,4,4,0,0,0,4,0,4,36,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,0,1,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,1,0,0,0,1,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,2,0,0,0,0,2,2,,Adult 18+,0,0,1,Male,1,1,True,True
28,39,34,0,0,3,2,1,0,0,1,2,3,39,Adult 18+,0,0,1,Female,1,1,False,False
48,48,48,0,0,2,2,0,1,0,0,1,2,48,Adult 18+,0,0,1,Male,1,1,False,False
17,59,36,0,1,2,3,0,1,2,0,0,3,59,Adult 18+,0,0,1,Male,1,1,False,False
27,27,27,0,0,2,1,0,0,0,1,1,2,27,Adult 18+,0,0,1,Male,1,1,True,False
16,16,16,0,1,0,1,0,0,1,0,0,1,16,,,,1,Male,1,1,False,False
,,,,,,1,0,0,0,1,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
23,53,38,0,0,2,2,0,2,0,0,0,2,53,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,2,0,0,0,2,0,2,,Adult 18+,0,0,1,Male,1,1,True,True
35,35,35,0,0,1,1,0,,,,,2,35,Adult 18+,0,0,1,Male,1,1,True,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
10,33,22,1,0,1,1,0,0,1,0,1,2,33,Adult 18+,0,0,1,Male,1,1,True,False
18,18,18,0,0,3,3,0,1,0,2,0,3,18,Adult 18+,0,0,1,Male,1,1,False,False
22,23,22,0,0,4,3,1,1,0,2,1,4,23,Adult 18+,0,0,1,Male,1,1,False,False
22,23,22,0,0,2,2,0,0,0,2,0,2,22,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,0,1,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
28,28,28,0,0,1,1,0,1,0,0,0,1,28,Adult 18+,0,0,1,Male,1,1,False,False
35,35,35,0,0,2,2,0,0,1,0,1,2,35,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,0,0,1,2,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
30,30,30,0,0,1,1,0,0,0,0,1,4,30,Adult 18+,0,0,1,Male,1,1,True,False
17,21,19,0,1,1,2,0,0,1,1,0,2,21,Adult 18+,0,0,1,Male,1,1,False,False
27,27,27,0,0,1,1,0,0,0,1,0,1,27,Adult 18+,0,0,1,Male,1,1,False,False
29,59,44,0,0,2,2,0,0,0,2,0,2,29,Adult 18+,0,0,1,Male,1,1,False,False
24,26,25,0,0,2,2,0,0,1,0,1,2,26,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
29,29,29,0,0,1,1,0,0,1,0,0,1,29,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,,,,,,,1,,Adult 18+,0,0,1,,1,1,True,True
28,28,28,0,0,1,1,0,0,1,0,0,1,28,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,2,0,0,1,0,1,2,,Adult 18+,0,0,1,Male,1,1,True,True
20,20,20,0,0,1,1,0,0,1,0,0,1,20,Adult 18+,0,0,1,Male,1,1,False,False
18,38,23,0,0,5,5,0,1,0,4,0,5,38,Adult 18+,0,0,1,Male,1,1,False,False
77,77,77,0,0,1,,,,,,,1,77,Adult 18+,0,0,1,,1,1,True,True
40,40,40,0,0,4,1,0,1,0,0,3,4,40,Adult 18+,0,0,1,Male,1,1,True,False
36,36,36,0,0,2,2,0,0,0,1,1,2,36,Adult 18+,0,0,1,Male,1,1,False,False
4,30,17,1,0,3,2,2,0,1,0,4,5,30,Adult 18+,0,0,1,Female,1,1,True,False
51,51,51,0,0,1,1,0,0,0,0,1,1,51,Adult 18+,0,0,1,Male,1,1,False,False
15,15,15,0,1,0,1,0,0,1,0,0,1,15,,,,1,Male,1,1,False,False
,,,,,,2,0,0,0,0,3,3,,Adult 18+,0,0,1,Male,1,1,True,True
36,36,36,0,0,2,1,1,0,1,0,1,2,36,Adult 18+,0,0,1,Female,1,1,False,False
,,,,,,3,1,0,1,3,0,4,,Adult 18+,0,0,1,Female,1,1,True,True
,,,,,,2,0,0,1,0,1,2,,Adult 18+,0,0,1,Male,1,1,True,True
21,21,21,0,0,2,2,0,0,1,1,0,2,21,Adult 18+,0,0,1,Male,1,1,False,False
17,34,26,0,1,3,2,2,1,2,0,1,4,17,,,,1,Male,1,1,False,False
,,,,,,1,0,,,,,1,,Adult 18+,0,0,1,Male,1,1,True,True
16,16,16,0,1,0,1,0,0,1,0,0,1,16,,,,1,Male,1,1,False,False
,,,,,,1,0,0,0,0,1,1,,Adult 18+,0,0,1,Male,1,1,True,True
18,18,18,0,0,1,1,0,0,1,0,0,1,18,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,2,1,0,0,0,3,3,,Adult 18+,0,0,1,Female,1,1,True,True
,,,,,,3,0,0,1,0,3,4,,Adult 18+,0,0,1,Male,1,1,True,True
19,20,20,0,0,2,1,1,0,2,1,0,3,19,Adult 18+,0,0,1,Female,1,1,True,False
30,30,30,0,0,1,1,0,0,1,0,0,1,30,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,0,1,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
31,36,34,0,0,4,4,0,1,0,3,0,4,35,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
,,,,,,2,0,0,1,0,1,2,,Adult 18+,0,0,1,Male,1,1,True,True
2,2,2,1,0,1,1,1,0,1,0,1,2,2,,,,1,Female,1,1,True,False
,,,,,,1,1,0,0,1,1,2,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,1,0,0,0,1,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,0,1,0,0,0,1,1,,Adult 18+,0,0,1,Female,1,1,True,True
20,20,20,0,0,2,2,0,0,0,2,0,2,20,Adult 18+,0,0,1,Male,1,1,False,False
40,40,40,0,0,1,1,0,0,0,1,0,1,40,Adult 18+,0,0,1,Male,1,1,False,False
,,,,,,1,0,1,0,0,0,1,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,,,,,,,0,,Adult 18+,0,0,1,,1,1,True,True
19,19,19,0,0,2,2,0,0,1,1,0,2,19,Adult 18+,0,0,1,Male,1,1,False,False
26,26,26,0,0,2,2,0,1,0,1,0,2,26,Adult 18+,0,0,1,Male,1,1,False,False
32,32,32,0,0,1,0,1,0,1,0,0,1,32,Adult 18+,0,0,1,Female,1,1,False,False
,,,,,,2,0,,,,,2,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,2,0,,,,,2,,Adult 18+,0,0,1,Male,1,1,True,True
,,,,,,1,0,0,0,0,1,1,,Adult 18+,0,0,1,Male,1,1,True,True
34,34,34,0,0,1,1,0,0,0,1,0,1,34,Adult 18+,0,0,1,Male,1,1,False,False
