year,state,majority_state_party,px_code
1976,ALABAMA,DEMOCRAT,AL
1976,ALASKA,REPUBLICAN,AK
1976,ARIZONA,REPUBLICAN,AZ
1976,ARKANSAS,REPUBLICAN,AR
1976,CALIFORNIA,DEMOCRAT,CA
1976,COLORADO,REPUBLICAN,CO
1976,CONNECTICUT,REPUBLICAN,CT
1976,DELAWARE,REPUBLICAN,DE
1976,DISTRICT OF COLUMBIA,DEMOCRAT,
1976,FLORIDA,DEMOCRAT,FL
1976,GEORGIA,DEMOCRAT,GA
1976,HAWAII,DEMOCRAT,HI
1976,IDAHO,REPUBLICAN,ID
1976,ILLINOIS,DEMOCRAT,IL
1976,INDIANA,DEMOCRAT,IN
1976,IOWA,DEMOCRAT,IA
1976,KANSAS,REPUBLICAN,KS
1976,KENTUCKY,DEMOCRAT,KY
1976,LOUISIANA,DEMOCRAT,LA
1976,MAINE,REPUBLICAN,ME
1976,MARYLAND,DEMOCRAT,MD
1976,MASSACHUSETTS,REPUBLICAN,MA
1976,MICHIGAN,DEMOCRAT,MI
1976,MINNESOTA,DEMOCRAT,MN
1976,MISSISSIPPI,DEMOCRAT,MS
1976,MISSOURI,DEMOCRAT,MO
1976,MONTANA,DEMOCRAT,MT
1976,NEBRASKA,REPUBLICAN,NE
1976,NEVADA,DEMOCRAT,NV
1976,NEW HAMPSHIRE,DEMOCRAT,NH
1976,NEW JERSEY,DEMOCRAT,NJ
1976,NEW MEXICO,REPUBLICAN,NM
1976,NEW YORK,DEMOCRAT,NY
1976,NORTH CAROLINA,DEMOCRAT,NC
1976,NORTH DAKOTA,REPUBLICAN,ND
1976,OHIO,DEMOCRAT,OH
1976,OKLAHOMA,DEMOCRAT,OK
1976,OREGON,DEMOCRAT,OR
1976,PENNSYLVANIA,REPUBLICAN,PA
1976,RHODE ISLAND,DEMOCRAT,RI
1976,SOUTH CAROLINA,DEMOCRAT,SC
1976,SOUTH DAKOTA,REPUBLICAN,SD
1976,TENNESSEE,DEMOCRAT,TN
1976,TEXAS,REPUBLICAN,TX
1976,UTAH,DEMOCRAT,UT
1976,VERMONT,REPUBLICAN,VT
1976,VIRGINIA,DEMOCRAT,VA
1976,WASHINGTON,REPUBLICAN,WA
1976,WEST VIRGINIA,DEMOCRAT,WV
1976,WISCONSIN,DEMOCRAT,WI
1976,WYOMING,DEMOCRAT,WY
1978,ALABAMA,DEMOCRAT,AL
1978,ALASKA,REPUBLICAN,AK
1978,ARIZONA,DEMOCRAT,AZ
1978,ARKANSAS,DEMOCRAT,AR
1978,CALIFORNIA,DEMOCRAT,CA
1978,COLORADO,REPUBLICAN,CO
1978,CONNECTICUT,DEMOCRAT,CT
1978,DELAWARE,REPUBLICAN,DE
1978,DISTRICT OF COLUMBIA,DEMOCRAT,
1978,FLORIDA,DEMOCRAT,FL
1978,GEORGIA,DEMOCRAT,GA
1978,HAWAII,DEMOCRAT,HI
1978,IDAHO,REPUBLICAN,ID
1978,ILLINOIS,DEMOCRAT,IL
1978,INDIANA,DEMOCRAT,IN
1978,IOWA,REPUBLICAN,IA
1978,KANSAS,REPUBLICAN,KS
1978,KENTUCKY,DEMOCRAT,KY
1978,LOUISIANA,DEMOCRAT,LA
1978,MAINE,REPUBLICAN,ME
1978,MARYLAND,DEMOCRAT,MD
1978,MASSACHUSETTS,REPUBLICAN,MA
1978,MICHIGAN,DEMOCRAT,MI
1978,MINNESOTA,DEMOCRAT,MN
1978,MISSISSIPPI,REPUBLICAN,MS
1978,MISSOURI,DEMOCRAT,MO
1978,MONTANA,DEMOCRAT,MT
1978,NEBRASKA,REPUBLICAN,NE
1978,NEVADA,DEMOCRAT,NV
1978,NEW HAMPSHIRE,REPUBLICAN,NH
1978,NEW JERSEY,DEMOCRAT,NJ
1978,NEW MEXICO,DEMOCRAT,NM
1978,NEW YORK,DEMOCRAT,NY
1978,NORTH CAROLINA,REPUBLICAN,NC
1978,NORTH DAKOTA,REPUBLICAN,ND
1978,OHIO,DEMOCRAT,OH
1978,OKLAHOMA,REPUBLICAN,OK
1978,OREGON,DEMOCRAT,OR
1978,PENNSYLVANIA,REPUBLICAN,PA
1978,RHODE ISLAND,DEMOCRAT,RI
1978,SOUTH CAROLINA,DEMOCRAT,SC
1978,SOUTH DAKOTA,REPUBLICAN,SD
1978,TENNESSEE,DEMOCRAT,TN
1978,TEXAS,REPUBLICAN,TX
1978,UTAH,REPUBLICAN,UT
1978,VERMONT,REPUBLICAN,VT
1978,VIRGINIA,REPUBLICAN,VA
1978,WASHINGTON,REPUBLICAN,WA
1978,WEST VIRGINIA,DEMOCRAT,WV
1978,WISCONSIN,REPUBLICAN,WI
1978,WYOMING,REPUBLICAN,WY
1980,ALABAMA,DEMOCRAT,AL
1980,ALASKA,REPUBLICAN,AK
1980,ARIZONA,REPUBLICAN,AZ
1980,ARKANSAS,DEMOCRAT,AR
1980,CALIFORNIA,REPUBLICAN,CA
1980,COLORADO,REPUBLICAN,CO
1980,CONNECTICUT,REPUBLICAN,CT
1980,DELAWARE,REPUBLICAN,DE
1980,DISTRICT OF COLUMBIA,DEMOCRAT,
1980,FLORIDA,DEMOCRAT,FL
1980,GEORGIA,DEMOCRAT,GA
1980,HAWAII,DEMOCRAT,HI
1980,IDAHO,REPUBLICAN,ID
1980,ILLINOIS,DEMOCRAT,IL
1980,INDIANA,REPUBLICAN,IN
1980,IOWA,DEMOCRAT,IA
1980,KANSAS,DEMOCRAT,KS
1980,KENTUCKY,DEMOCRAT,KY
1980,LOUISIANA,REPUBLICAN,LA
1980,MAINE,REPUBLICAN,ME
1980,MARYLAND,REPUBLICAN,MD
1980,MASSACHUSETTS,DEMOCRAT,MA
1980,MICHIGAN,DEMOCRAT,MI
1980,MINNESOTA,DEMOCRAT,MN
1980,MISSISSIPPI,DEMOCRAT,MS
1980,MISSOURI,DEMOCRAT,MO
1980,MONTANA,DEMOCRAT,MT
1980,NEBRASKA,REPUBLICAN,NE
1980,NEVADA,DEMOCRAT,NV
1980,NEW HAMPSHIRE,REPUBLICAN,NH
1980,NEW JERSEY,DEMOCRAT,NJ
1980,NEW MEXICO,REPUBLICAN,NM
1980,NEW YORK,DEMOCRAT,NY
1980,NORTH CAROLINA,DEMOCRAT,NC
1980,NORTH DAKOTA,DEMOCRAT,ND
1980,OHIO,DEMOCRAT,OH
1980,OKLAHOMA,REPUBLICAN,OK
1980,OREGON,DEMOCRAT,OR
1980,PENNSYLVANIA,REPUBLICAN,PA
1980,RHODE ISLAND,DEMOCRAT,RI
