year,state,congressional_district,party,candidatevotes,totalvotes,candidateperc
1976,ALABAMA,1,REPUBLICAN,98257,157170,62.51638353375326
1976,ALABAMA,2,REPUBLICAN,90069,156362,57.60287026259577
1976,ALABAMA,3,DEMOCRAT,106935,108048,98.9699022656597
1976,ALABAMA,4,DEMOCRAT,141490,176022,80.38199770483236
1976,ALABAMA,5,DEMOCRAT,113553,113560,99.99383585769637
1976,ALABAMA,6,REPUBLICAN,92113,162518,56.67864482703454
1976,ALABAMA,7,DEMOCRAT,110496,110501,99.995475154071
1976,ALASKA,0,REPUBLICAN,83722,118208,70.82600162425555
1976,ARIZONA,1,REPUBLICAN,96397,168119,57.33855185909981
1976,ARIZONA,2,DEMOCRAT,106054,182128,58.23047527013968
1976,ARIZONA,3,DEMOCRAT,88854,187165,47.47361953356664
1976,ARIZONA,4,REPUBLICAN,93154,191590,48.62153557075004
1976,ARKANSAS,1,DEMOCRAT,116217,168782,68.85627614319063
1976,ARKANSAS,2,DEMOCRAT,144780,167607,86.38064042671249
1976,ARKANSAS,3,REPUBLICAN,1,1,100.0
1976,ARKANSAS,4,DEMOCRAT,1,1,100.0
1976,CALIFORNIA,1,DEMOCRAT,160477,217016,73.94708224278395
1976,CALIFORNIA,2,REPUBLICAN,121290,216563,56.00679709830396
1976,CALIFORNIA,3,DEMOCRAT,139779,191854,72.85696414982226
1976,CALIFORNIA,4,DEMOCRAT,75844,151037,50.21551010679502
1976,CALIFORNIA,5,DEMOCRAT,103746,167754,61.84412890303659
1976,CALIFORNIA,6,DEMOCRAT,86493,130916,66.06755476794281
1976,CALIFORNIA,7,DEMOCRAT,147064,196816,74.72156735224779
1976,CALIFORNIA,8,DEMOCRAT,122342,196954,62.11704255816078
1976,CALIFORNIA,9,DEMOCRAT,116398,164391,70.80557938086635
1976,CALIFORNIA,10,DEMOCRAT,111992,155443,72.04698828509486
1976,CALIFORNIA,11,DEMOCRAT,107618,176194,61.079264901188466
1976,CALIFORNIA,12,REPUBLICAN,130332,196857,66.2064341120712
1976,CALIFORNIA,13,DEMOCRAT,135291,202611,66.77376845284807
1976,CALIFORNIA,14,DEMOCRAT,123285,169959,72.53808271406633
1976,CALIFORNIA,15,DEMOCRAT,92735,128435,72.20383851753806
1976,CALIFORNIA,16,DEMOCRAT,104545,195705,53.419687795406354
1976,CALIFORNIA,17,DEMOCRAT,103898,158168,65.6883819735977
1976,CALIFORNIA,18,REPUBLICAN,101658,158341,64.20194390587403
1976,CALIFORNIA,19,REPUBLICAN,124201,192923,64.37853444120194
1976,CALIFORNIA,20,REPUBLICAN,146158,217351,67.2451472503002
1976,CALIFORNIA,21,DEMOCRAT,101837,153109,66.51274582160421
1976,CALIFORNIA,22,REPUBLICAN,114769,183312,62.60855808675919
1976,CALIFORNIA,23,DEMOCRAT,130619,217053,60.178389609910944
1976,CALIFORNIA,24,DEMOCRAT,108296,159774,67.78074029566763
1976,CALIFORNIA,25,DEMOCRAT,57966,80625,71.89581395348837
1976,CALIFORNIA,26,REPUBLICAN,112619,171712,65.58598117778605
1976,CALIFORNIA,27,REPUBLICAN,114623,209611,54.683675952120836
1976,CALIFORNIA,28,DEMOCRAT,114612,142915,80.19592065213588
1976,CALIFORNIA,29,DEMOCRAT,82515,96602,85.41748618041034
1976,CALIFORNIA,30,DEMOCRAT,82767,111270,74.38393097870046
1976,CALIFORNIA,31,DEMOCRAT,83155,83155,100.0
1976,CALIFORNIA,32,DEMOCRAT,92034,127428,72.22431490724173
1976,CALIFORNIA,33,REPUBLICAN,95398,173205,55.078086660315805
1976,CALIFORNIA,34,DEMOCRAT,100988,199135,50.71333517463028
1976,CALIFORNIA,35,DEMOCRAT,87472,164237,53.25961872172531
1976,CALIFORNIA,36,DEMOCRAT,90830,147556,61.55629049310093
1976,CALIFORNIA,37,REPUBLICAN,133634,188007,71.07926832511555
1976,CALIFORNIA,38,DEMOCRAT,103317,162409,63.61531688514799
1976,CALIFORNIA,39,REPUBLICAN,122657,209402,58.57489422259577
1976,CALIFORNIA,40,REPUBLICAN,148512,250644,59.252166419303876
1976,CALIFORNIA,41,REPUBLICAN,128784,223374,57.653979424642074
1976,CALIFORNIA,42,DEMOCRAT,103062,135627,75.98929416709062
1976,CALIFORNIA,43,REPUBLICAN,173576,267051,64.99732260879009
1976,COLORADO,1,DEMOCRAT,103037,193610,53.218842001962706
1976,COLORADO,2,DEMOCRAT,121340,240278,50.49983768801138
1976,COLORADO,3,DEMOCRAT,89302,175232,50.962153031409784
1976,COLORADO,4,REPUBLICAN,119458,221018,54.04899148485644
1976,COLORADO,5,REPUBLICAN,126784,190851,66.43088063463121
1976,CONNECTICUT,1,DEMOCRAT,128479,225076,57.08249657893334
1976,CONNECTICUT,2,DEMOCRAT,142684,219308,65.06101008627137
1976,CONNECTICUT,3,DEMOCRAT,121623,222643,54.626913938457534
1976,CONNECTICUT,4,REPUBLICAN,126314,207058,61.00416308473954
1976,CONNECTICUT,5,REPUBLICAN,157009,236087,66.50472071736266
1976,CONNECTICUT,6,DEMOCRAT,134914,238300,56.61519093579521
1976,DELAWARE,0,REPUBLICAN,110636,215085,51.43826859148709
1976,DISTRICT OF COLUMBIA,0,DEMOCRAT,12149,15742,77.17570829627748
1976,FLORIDA,1,DEMOCRAT,1,1,100.0
1976,FLORIDA,2,DEMOCRAT,1,1,100.0
1976,FLORIDA,3,DEMOCRAT,1,1,100.0
1976,FLORIDA,4,DEMOCRAT,1,1,100.0
1976,FLORIDA,5,REPUBLICAN,138371,234631,58.97387813204564
1976,FLORIDA,6,REPUBLICAN,151371,232218,65.18486938996976
1976,FLORIDA,7,DEMOCRAT,102739,156338,65.71594877764842
1976,FLORIDA,8,DEMOCRAT,103360,178154,58.01722105594037
1976,FLORIDA,9,REPUBLICAN,130509,167139,78.08410963329922
1976,FLORIDA,10,REPUBLICAN,164273,247686,66.32308648853791
1976,FLORIDA,11,DEMOCRAT,199031,218437,91.1159739421435
1976,FLORIDA,12,REPUBLICAN,107268,199076,53.88293917900702
1976,FLORIDA,13,DEMOCRAT,127822,163179,78.33238345620454
1976,FLORIDA,14,DEMOCRAT,82665,113439,72.87176367915797
1976,FLORIDA,15,DEMOCRAT,121292,172233,70.42320577357417
1976,GEORGIA,1,DEMOCRAT,73826,73888,99.91608921611088
1976,GEORGIA,2,DEMOCRAT,95807,96026,99.77193676712557
1976,GEORGIA,3,DEMOCRAT,93174,105004,88.73376252333244
1976,GEORGIA,4,DEMOCRAT,110261,161412,68.31028671969865
1976,GEORGIA,5,DEMOCRAT,96056,144063,66.67638463727674
1976,GEORGIA,6,DEMOCRAT,77532,149944,51.707304060182466
1976,GEORGIA,7,DEMOCRAT,84587,153554,55.08615861521028
1976,GEORGIA,8,DEMOCRAT,90559,130186,69.56124314442414
1976,GEORGIA,9,DEMOCRAT,113245,143357,78.99509615854127
1976,GEORGIA,10,DEMOCRAT,94782,94864,99.91356046550852
1976,HAWAII,1,DEMOCRAT,60050,137602,43.64035406462116
1976,HAWAII,2,DEMOCRAT,124116,156099,79.51107950723579
1976,IDAHO,1,REPUBLICAN,95833,175495,54.60725376791361
1976,IDAHO,2,REPUBLICAN,84175,166412,50.58228973872077
1976,ILLINOIS,1,DEMOCRAT,126632,137193,92.30208538336504
1976,ILLINOIS,2,DEMOCRAT,127297,150335,84.6755579206439
1976,ILLINOIS,3,DEMOCRAT,115591,196365,58.865378249688085
1976,ILLINOIS,4,REPUBLICAN,124847,189772,65.78789283982884
1976,ILLINOIS,5,DEMOCRAT,119336,155092,76.94529698501535
1976,ILLINOIS,6,REPUBLICAN,106667,176027,60.59695387639397
1976,ILLINOIS,7,DEMOCRAT,88239,104094,84.76857455761139
1976,ILLINOIS,8,DEMOCRAT,105595,131107,80.54108476282731
1976,ILLINOIS,9,DEMOCRAT,121915,168983,72.14631057562003
1976,ILLINOIS,10,DEMOCRAT,106804,213414,50.04545156362751
1976,ILLINOIS,11,DEMOCRAT,135755,201440,67.39227561556791
1976,ILLINOIS,12,REPUBLICAN,151899,208553,72.8347230679971
1976,ILLINOIS,13,REPUBLICAN,109726,164266,66.7977548610181
1976,ILLINOIS,14,REPUBLICAN,176076,236588,74.42304766091264
1976,ILLINOIS,15,REPUBLICAN,102555,190231,53.91077164079461
1976,ILLINOIS,16,REPUBLICAN,114324,168328,67.91739936314814
1976,ILLINOIS,17,REPUBLICAN,113145,194365,58.21264116481877
1976,ILLINOIS,18,REPUBLICAN,108028,187130,57.72885160049164
1976,ILLINOIS,19,REPUBLICAN,132571,193539,68.49833883610022
1976,ILLINOIS,20,REPUBLICAN,137223,215857,63.571253190769816
1976,ILLINOIS,21,REPUBLICAN,137037,184035,74.46246637867797
1976,ILLINOIS,22,DEMOCRAT,129187,210289,61.43307543428329
1976,ILLINOIS,23,DEMOCRAT,128113,162938,78.62683965680198
1976,ILLINOIS,24,DEMOCRAT,152344,226110,67.3760559019946
1976,INDIANA,1,DEMOCRAT,121155,169911,71.3049773116514
1976,INDIANA,2,DEMOCRAT,117617,214845,54.74504875607996
1976,INDIANA,3,DEMOCRAT,101777,178871,56.899665121791685
1976,INDIANA,4,REPUBLICAN,107762,198183,54.37499684634908
1976,INDIANA,5,REPUBLICAN,127194,206001,61.74436046426959
1976,INDIANA,6,DEMOCRAT,105773,192627,54.910786130708566
1976,INDIANA,7,REPUBLICAN,130005,207360,62.6953125
1976,INDIANA,8,DEMOCRAT,109013,216026,50.462907242646715
1976,INDIANA,9,DEMOCRAT,136056,136056,100.0
1976,INDIANA,10,DEMOCRAT,114559,191449,59.83786804840976
1976,INDIANA,11,DEMOCRAT,115895,191859,60.40634007265753
1976,IOWA,1,REPUBLICAN,109694,211204,51.93746330561921
1976,IOWA,2,DEMOCRAT,102980,204550,50.344659007577604
1976,IOWA,3,REPUBLICAN,117957,208938,56.45550354650663
1976,IOWA,4,DEMOCRAT,145343,210356,69.09382190191864
1976,IOWA,5,DEMOCRAT,135600,209052,64.86424430285288
1976,IOWA,6,DEMOCRAT,133507,198002,67.42709669599297
1976,KANSAS,1,REPUBLICAN,142311,194772,73.06543034933154
1976,KANSAS,2,DEMOCRAT,88645,174861,50.69455167247128
1976,KANSAS,3,REPUBLICAN,123578,179865,68.70597392488811
1976,KANSAS,4,DEMOCRAT,90067,179168,50.26957938917664
1976,KANSAS,5,REPUBLICAN,109573,180625,60.66325259515571
1976,KENTUCKY,1,DEMOCRAT,118886,144985,81.99882746491016
1976,KENTUCKY,2,DEMOCRAT,79016,130920,60.35441490986862
1976,KENTUCKY,3,DEMOCRAT,80496,140744,57.19320184164156
1976,KENTUCKY,4,REPUBLICAN,97493,174502,55.86927370459938
1976,KENTUCKY,5,REPUBLICAN,100204,150473,66.5926777561423
1976,KENTUCKY,6,DEMOCRAT,90695,96493,93.99127397842331
1976,KENTUCKY,7,DEMOCRAT,110450,150831,73.2276521404751
1976,LOUISIANA,1,DEMOCRAT,61652,130558,47.221924355458874
1976,LOUISIANA,2,DEMOCRAT,85923,92827,92.56250875284131
1976,LOUISIANA,3,REPUBLICAN,109135,148863,73.31237446511221
1976,LOUISIANA,4,DEMOCRAT,76406,76406,100.0
1976,LOUISIANA,5,DEMOCRAT,83696,159270,52.549758272116534
1976,LOUISIANA,6,REPUBLICAN,99780,152992,65.21909642334239
1976,LOUISIANA,7,DEMOCRAT,117196,140610,83.34826825972547
1976,LOUISIANA,8,DEMOCRAT,106285,112811,94.21510313710543
1976,MAINE,1,REPUBLICAN,145523,253628,57.37655148485183
1976,MAINE,2,REPUBLICAN,169292,219547,77.10968494217639
1976,MARYLAND,1,REPUBLICAN,85919,158912,54.06703080950464
1976,MARYLAND,2,DEMOCRAT,139196,196303,70.9087482106743
1976,MARYLAND,3,DEMOCRAT,107014,143461,74.59448909459714
1976,MARYLAND,4,REPUBLICAN,95158,165013,57.666971693139324
1976,MARYLAND,5,DEMOCRAT,77836,134893,57.70203049824676
1976,MARYLAND,6,DEMOCRAT,126801,179004,70.83696453710532
1976,MARYLAND,7,DEMOCRAT,94991,100633,94.39348921327993
1976,MARYLAND,8,REPUBLICAN,111274,237652,46.82224428997021
1976,MASSACHUSETTS,1,REPUBLICAN,137652,215870,63.76615555658498
1976,MASSACHUSETTS,2,DEMOCRAT,134408,185755,72.3576754326936
1976,MASSACHUSETTS,3,DEMOCRAT,168520,168568,99.97152484457311
1976,MASSACHUSETTS,4,DEMOCRAT,109268,209835,52.07329568470465
1976,MASSACHUSETTS,5,DEMOCRAT,144217,214263,67.30840135721053
1976,MASSACHUSETTS,6,DEMOCRAT,121562,221813,54.80382123680758
1976,MASSACHUSETTS,7,DEMOCRAT,162126,210809,76.9065836847573
1976,MASSACHUSETTS,8,DEMOCRAT,133131,178850,74.43723790886217
1976,MASSACHUSETTS,9,DEMOCRAT,103901,149371,69.55901747996599
1976,MASSACHUSETTS,10,REPUBLICAN,176604,176691,99.95076149888789
1976,MASSACHUSETTS,11,DEMOCRAT,131789,191055,68.97961320038732
1976,MASSACHUSETTS,12,DEMOCRAT,222418,222504,99.96134900945601
1976,MICHIGAN,1,DEMOCRAT,126161,136582,92.37015126444187
1976,MICHIGAN,2,REPUBLICAN,95397,191738,49.75383074820849
1976,MICHIGAN,3,REPUBLICAN,99231,196158,50.58728168109381
1976,MICHIGAN,4,REPUBLICAN,107881,179737,60.0215870967024
1976,MICHIGAN,5,REPUBLICAN,109589,205438,53.34407461131826
1976,MICHIGAN,6,DEMOCRAT,108909,206504,52.73941424863441
1976,MICHIGAN,7,DEMOCRAT,124260,177582,69.97330810555124
1976,MICHIGAN,8,DEMOCRAT,110127,186632,59.007565690771145
1976,MICHIGAN,9,REPUBLICAN,146712,209701,69.96247037448558
1976,MICHIGAN,10,REPUBLICAN,118726,210184,56.4866973699235
1976,MICHIGAN,11,REPUBLICAN,118871,217115,54.75024756465467
1976,MICHIGAN,12,DEMOCRAT,94815,180867,52.42249829985569
1976,MICHIGAN,13,DEMOCRAT,83387,93687,89.00594532859415
1976,MICHIGAN,14,DEMOCRAT,107503,161666,66.49697524525874
1976,MICHIGAN,15,DEMOCRAT,117313,158550,73.99116997792494
1976,MICHIGAN,16,DEMOCRAT,121682,160344,75.88809060519883
1976,MICHIGAN,17,DEMOCRAT,112746,175573,64.21602410393398
1976,MICHIGAN,18,DEMOCRAT,123113,186195,66.12046510378904
1976,MICHIGAN,19,REPUBLICAN,131799,197645,66.68471248956462
1976,MINNESOTA,1,REPUBLICAN,158177,231773,68.24651706626742
1976,MINNESOTA,2,REPUBLICAN,148322,245810,60.340100077295475
1976,MINNESOTA,3,REPUBLICAN,149013,225459,66.093169933336
1976,MINNESOTA,4,DEMOCRAT,133282,200599,66.4420061914566
1976,MINNESOTA,5,DEMOCRAT,138213,195596,70.66248798543937
1976,MINNESOTA,6,DEMOCRAT,147507,246708,59.790116250790405
1976,MINNESOTA,7,DEMOCRAT,174080,241627,72.04492875382304
1976,MINNESOTA,8,DEMOCRAT,206755,206755,100.0
1976,MISSISSIPPI,1,DEMOCRAT,93687,93687,100.0
1976,MISSISSIPPI,2,DEMOCRAT,75092,119173,63.010916902318485
1976,MISSISSIPPI,3,DEMOCRAT,129088,137409,93.94435590099629
1976,MISSISSIPPI,4,REPUBLICAN,101132,132991,76.04424359543127
1976,MISSISSIPPI,5,REPUBLICAN,104554,153278,68.21200694163547
1976,MISSOURI,1,DEMOCRAT,87310,133184,65.55592263334935
1976,MISSOURI,2,DEMOCRAT,111568,218379,51.08916150362444
1976,MISSOURI,3,DEMOCRAT,115109,180732,63.69043666865857
