year,state,congressional_district,party,candidatevotes,totalvotes
1976,ALABAMA,1,REPUBLICAN,98257,157170
1976,ALABAMA,2,REPUBLICAN,90069,156362
1976,ALABAMA,3,DEMOCRAT,106935,108048
1976,ALABAMA,4,DEMOCRAT,141490,176022
1976,ALABAMA,5,DEMOCRAT,113553,113560
1976,ALABAMA,6,REPUBLICAN,92113,162518
1976,ALABAMA,7,DEMOCRAT,110496,110501
1976,ALASKA,0,REPUBLICAN,83722,118208
1976,ARIZONA,1,REPUBLICAN,96397,168119
1976,ARIZONA,2,DEMOCRAT,106054,182128
1976,ARIZONA,3,DEMOCRAT,88854,187165
1976,ARIZONA,4,REPUBLICAN,93154,191590
1976,ARKANSAS,1,DEMOCRAT,116217,168782
1976,ARKANSAS,2,DEMOCRAT,144780,167607
1976,ARKANSAS,3,REPUBLICAN,1,1
1976,ARKANSAS,4,DEMOCRAT,1,1
1976,CALIFORNIA,1,DEMOCRAT,160477,217016
1976,CALIFORNIA,2,REPUBLICAN,121290,216563
1976,CALIFORNIA,3,DEMOCRAT,139779,191854
1976,CALIFORNIA,4,DEMOCRAT,75844,151037
1976,CALIFORNIA,5,DEMOCRAT,103746,167754
1976,CALIFORNIA,6,DEMOCRAT,86493,130916
1976,CALIFORNIA,7,DEMOCRAT,147064,196816
1976,CALIFORNIA,8,DEMOCRAT,122342,196954
1976,CALIFORNIA,9,DEMOCRAT,116398,164391
1976,CALIFORNIA,10,DEMOCRAT,111992,155443
1976,CALIFORNIA,11,DEMOCRAT,107618,176194
1976,CALIFORNIA,12,REPUBLICAN,130332,196857
1976,CALIFORNIA,13,DEMOCRAT,135291,202611
1976,CALIFORNIA,14,DEMOCRAT,123285,169959
1976,CALIFORNIA,15,DEMOCRAT,92735,128435
1976,CALIFORNIA,16,DEMOCRAT,104545,195705
1976,CALIFORNIA,17,DEMOCRAT,103898,158168
1976,CALIFORNIA,18,REPUBLICAN,101658,158341
1976,CALIFORNIA,19,REPUBLICAN,124201,192923
1976,CALIFORNIA,20,REPUBLICAN,146158,217351
1976,CALIFORNIA,21,DEMOCRAT,101837,153109
1976,CALIFORNIA,22,REPUBLICAN,114769,183312
1976,CALIFORNIA,23,DEMOCRAT,130619,217053
1976,CALIFORNIA,24,DEMOCRAT,108296,159774
1976,CALIFORNIA,25,DEMOCRAT,57966,80625
1976,CALIFORNIA,26,REPUBLICAN,112619,171712
1976,CALIFORNIA,27,REPUBLICAN,114623,209611
1976,CALIFORNIA,28,DEMOCRAT,114612,142915
1976,CALIFORNIA,29,DEMOCRAT,82515,96602
1976,CALIFORNIA,30,DEMOCRAT,82767,111270
1976,CALIFORNIA,31,DEMOCRAT,83155,83155
1976,CALIFORNIA,32,DEMOCRAT,92034,127428
1976,CALIFORNIA,33,REPUBLICAN,95398,173205
1976,CALIFORNIA,34,DEMOCRAT,100988,199135
1976,CALIFORNIA,35,DEMOCRAT,87472,164237
1976,CALIFORNIA,36,DEMOCRAT,90830,147556
1976,CALIFORNIA,37,REPUBLICAN,133634,188007
1976,CALIFORNIA,38,DEMOCRAT,103317,162409
1976,CALIFORNIA,39,REPUBLICAN,122657,209402
1976,CALIFORNIA,40,REPUBLICAN,148512,250644
1976,CALIFORNIA,41,REPUBLICAN,128784,223374
1976,CALIFORNIA,42,DEMOCRAT,103062,135627
1976,CALIFORNIA,43,REPUBLICAN,173576,267051
1976,COLORADO,1,DEMOCRAT,103037,193610
1976,COLORADO,2,DEMOCRAT,121340,240278
1976,COLORADO,3,DEMOCRAT,89302,175232
1976,COLORADO,4,REPUBLICAN,119458,221018
1976,COLORADO,5,REPUBLICAN,126784,190851
1976,CONNECTICUT,1,DEMOCRAT,128479,225076
1976,CONNECTICUT,2,DEMOCRAT,142684,219308
1976,CONNECTICUT,3,DEMOCRAT,121623,222643
1976,CONNECTICUT,4,REPUBLICAN,126314,207058
1976,CONNECTICUT,5,REPUBLICAN,157009,236087
1976,CONNECTICUT,6,DEMOCRAT,134914,238300
1976,DELAWARE,0,REPUBLICAN,110636,215085
1976,FLORIDA,1,DEMOCRAT,1,1
1976,FLORIDA,2,DEMOCRAT,1,1
1976,FLORIDA,3,DEMOCRAT,1,1
1976,FLORIDA,4,DEMOCRAT,1,1
1976,FLORIDA,5,REPUBLICAN,138371,234631
1976,FLORIDA,6,REPUBLICAN,151371,232218
1976,FLORIDA,7,DEMOCRAT,102739,156338
1976,FLORIDA,8,DEMOCRAT,103360,178154
1976,FLORIDA,9,REPUBLICAN,130509,167139
1976,FLORIDA,10,REPUBLICAN,164273,247686
1976,FLORIDA,11,DEMOCRAT,199031,218437
1976,FLORIDA,12,REPUBLICAN,107268,199076
